Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.Toolbox.Audio.SoundEffect.Category.zippers,Zippers, ,Zippers,Cierres,Fermetures,Cerniere,チャック,지퍼,Zippers, ,拉链,拉链,拉鍊
Studio.Toolbox.General.CategoryCreationsMeshes,Meshes, ,Meshes,Mallas,Mailles,Mesh,メッシュ,메시,Malhas,Сетки,网格,网格,網格
Studio.Toolbox.General.CategoryMeshes,Meshes, ,Meshes,Mallas,Maillages,Mesh,メッシュ,메시,Malhas,Сетки,网格,网格,網格
Studio.Toolbox.AssetConfigPackagePermissions.NoResults,No results found, ,No results found,No se encontraron resultados,Pas de résultats trouvés,Nessun risultato trovato,結果が見つかりませんでした,결과 없음,Nenhum resultado encontrado,Результатов не найдено,未找到结果,未找到结果,找不到結果
Studio.Toolbox.General.InfoBannerText,No results found,Keine Ergebnisse gefunden,No results found,No se encontraron resultados,Aucun résultat trouvé,Nessun risultato trovato,結果が見つかりませんでした,결과 없음,Nenhum resultado encontrado,Результатов не найдено,未找到结果,未找到结果,未找到結果
Studio.Toolbox.General.ToolboxToolbarName,Toolbox, ,Toolbox,Caja de herramientas,Boîte à outils,Toolbox,ツールボックス,도구 상자,Caixa de ferramentas,Панель инструментов,工具箱,工具箱,工具箱
Studio.Toolbox.General.AssetCreatorIntroText,by {name:username},von {name:username},by {name:username},de {name:username},par {name:username},di {name:username},作：{name:username},제작: {name:username},de {name:username},Имя пользователя: {name:username},作者: {name:username},作者: {name:username},創作者：{name:username}
Studio.Toolbox.Audio.SoundEffect.Category.bicycles,Bicycles, ,Bicycles,Bicicletas,Vélos,Biciclette,自転車,자전거,Bicicletas, ,自行车,自行车,腳踏車
Studio.Toolbox.General.StatusOnSale,On Sale, ,On Sale,En venta,À vendre,In vendita,販売中,판매 시작,À venda,В продаже,在售,在售,上架
Studio.Toolbox.Audio.SoundEffect.Category.prop-planes,Prop Planes, ,Prop Planes,Aviones de propulsión,Avions à hélices,Aereo a elica,飛行機の舞台装置,프로펠러 비행기,Aviões de hélice, ,飞机道具,飞机道具,飛機道具
Studio.Toolbox.General.CategoryCreationsModels,Models, ,Models,Modelos,Modèles,Modelli,モデル,모델,Modelos,Модели,模型,模型,模型
Studio.Toolbox.General.CategoryModels,Models,Modelle,Models,Modelos,Modèles,Modelli,モデル,모델,Modelos,Модели,模型,模型,模型
Studio.Toolbox.General.CategoryCreationsPlugins,Plugins, ,Plugins,Plugins,Plugins,Plugin,プラグイン,플러그인,Plugins,Плагины,插件,插件,外掛程式
Studio.Toolbox.General.CategoryPaidPlugins,Plugins,Plug-ins,Plugins,Plugins,Plugins,Plugin,プラグイン,플러그인,Plugins,Плагины,插件,插件,外掛程式
Studio.Toolbox.General.CategoryPlugins,Plugins,Plug-ins,Plugins,Plugins,Plugins,Plugin,プラグイン,플러그인,Plugins,Плагины,插件,插件,外掛程式
Studio.Toolbox.Audio.SoundEffect.Category.suburban,Suburban, ,Suburban,Suburbano,Banlieusard,Suburbano,郊外,교외,Suburbano, ,郊区,郊区,郊區
Studio.Toolbox.HomeView.Suburban,Suburban, ,Suburban,Suburbano,Banlieue,Periferia,郊外,교외,Suburbano, ,郊区,郊区,郊區
Studio.Toolbox.General.CategoryCreationsDevelopmentSectionDivider,Game development assets, ,Game development assets,Recursos para el desarrollo del juego,Contenus pour le développement du jeu,Risorse di sviluppo del gioco,ゲーム開発アセット,게임 개발 애셋,Recursos de desenvolvimento do jogo,Ресурсы разработки игры,游戏开发素材,游戏开发素材,遊戲開發素材
Studio.Toolbox.General.SalesOnsale,Onsale, ,Onsale,En venta,En vente,In vendita,販売中,판매 시작,À venda,В продаже,在售,在售,上架
Studio.Toolbox.General.EndorseBadgeTooltipText,Marked as a high-quality item,Als hochwertiges Element gekennzeichnet,Marked as a high-quality item,Marcado como elemento de alta calidad,Marqué comme article de qualité,Segnato come oggetto di alta qualità,ハイクオリティアイテムとして登録済み,고품질 아이템으로 표시,Marcado como item de alta qualidade,Обозначен как высококачественный товар,标记为高品质的项目,标记为高品质的项目,已標記為高品質物品
Studio.Toolbox.AssetConfigSharing.DistributeMarketplaceQuotaInfoShortLink,What's my limit?, ,What's my limit?,¿Cuál es mi límite?,Quelle est ma limite ?,Qual è il mio limite?,上限は？,한도가 어떻게 되나요?,Qual é o meu limite?, ,我的上限是什么？,我的上限是什么？,我的上限是多少？
Studio.Toolbox.General.CategoryCreationsDecals,Images,Bilder,Images,Imágenes,Images,Immagini,画像,이미지,Imagens,Изображения,图片,图片,圖像
Studio.Toolbox.General.CategoryDecals,Images,Bilder,Images,Imágenes,Images,Immagini,画像,이미지,Imagens,Изображения,图片,图片,圖像
Studio.Toolbox.Audio.SoundEffect.Category.brakes,Brakes, ,Brakes,Frenos,Freins,Freni,ブレーキ,브레이크,Freios, ,刹车,刹车,煞車
Studio.Toolbox.General.AssetTypeAudio,Audio, ,Audio,Audio,Audio,Audio,オーディオ,오디오,Áudio,Звук,音频,音频,語音
Studio.Toolbox.General.CategoryAudio,Audio,Audiodateien,Audio,Audio,Sons,Audio,オーディオ,오디오,Áudios,Звук,音频,音频,語音
