Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.MaterialManager.Materials.CorrodedMetalVariant,Corroded Metal Variant,Corroded Metal Variant,Variante de metal corroído,Variante de métal corrodé,Variante Metallo Corroso,さびた金属のバリエーション,부식된 금속 변형,Variante de metal corroido,腐蚀金属变量,腐蚀金属变量,腐蝕金屬變種
Studio.MaterialManager.Plugin.Description,Toggles the Material Manager window.,Toggles the Material Manager window.,Alterna la ventana del Gestor de materiales.,Active/désactive la fenêtre du gestionnaire de matériels.,Attiva o disattiva la finestra Gestore Materiali.,素材管理ウィンドウの切り替え。,재질 관리자 창을 토글합니다.,Alterna a janela do Gerenciador de materiais.,切换材质管理器窗口。,切换材质管理器窗口。,切換材質管理器視窗。
Studio.MaterialManager.Import.RoughnessMapPreview,Roughness Map Preview,Roughness Map Preview,Vista previa de la rugosidad del mapa,Prévisualisation de la carte rugosité,Anteprima Mappa Ruvidità,粗さマップのプレビュー,거칠기 맵 미리 보기,Prévia do mapa de aspereza,粗糙度地图预览,粗糙度地图预览,粗糙度圖預覽
Studio.MaterialManager.Plugin.Button,Material Manager,Material Manager,Gestor de materiales,Gestionnaire de matériel,Gestore Materiali,素材管理,재질 관리자,Gerenciador de materiais,材质管理器,材质管理器,材質管理器
Studio.MaterialManager.Plugin.Name,Material Manager,Material Manager,Gestor de materiales,Gestionnaire de matériel,Gestore Materiali,素材管理,재질 관리자,Gerenciador de materiais,材质管理器,材质管理器,材質管理器
Studio.MaterialManager.Plugin.Toolbar,Material Manager,Material Manager,Gestor de materiales,Gestionnaire de matériel,Gestore Materiali,素材管理,재질 관리자,Gerenciador de materiais,材质管理器,材质管理器,材質管理器
Studio.MaterialManager.Categories.Wood,Wood,Wood,Madera,Bois,Legno,木材,목재,Madeira,木材,木材,木材
Studio.MaterialManager.Materials.Wood,Wood,Wood,Madera,Bois,Legno,木材,목재,Madeira,木材,木材,木材
Studio.MaterialManager.Categories.HumanMade,Human-Made,Human-Made,Hecho por humanos,Fabriqué par l'homme,Fatto dall'Uomo,人工,인간 제작,Feito por humanos,人造,人造,人造
Studio.MaterialManager.Materials.GrassVariant,Grass Variant,Grass Variant,Variante de hierba,Variante de l'herbe,Variante Erba,草のバリエーション,잔디 변형,Variante de grama,草变量,草变量,草變種
Studio.MaterialManager.CreateDialog.SaveVariant,Save,Save,Guardar,Sauvegarder,Salva,保存,저장,Salvar,保存,保存,儲存
Studio.MaterialManager.CreateDialog.CreateVariant,Create Variant,Create Variant,Crear variante,Créer Variante,Crea Variante,バリエーションを作成,변형 만들기,Criar variante,创建变量,创建变量,建立變種
Studio.MaterialManager.MaterialInformation.CreateVariant,Create Variant,Create Variant,Crear variante,Créer une variante,Crea Variante,バリエーションを作成,변형 만들기,Criar variante,创建变量,创建变量,建立變種
Studio.MaterialManager.MaterialOptions.CreateVariant,Create Variant,Create Variant,Crear variante,Créer Variante,Crea Variante,バリエーションを作成,변형 만들기,Criar variante,创建变量,创建变量,建立變種
Studio.MaterialManager.CreateDialog.PlaceholderName,Material Variant name,Material Variant name,Nombre de la variante de material,Nom de la variante de matière,Nome Variante Materiale,素材のバリエーション名,재질 변형 이름,Nome da variante do material,材质变量名称,材质变量名称,變種材質名稱
Studio.MaterialManager.CreateDialog.TextureMaps,Texture Maps,Texture Maps,Mapas de textura,Cartes des textures,Mappe del texture,テクスチャマップ,텍스처 맵,Mapas de textura,纹理地图,纹理地图,紋理圖
Studio.MaterialManager.MaterialTextures.TextureMaps,Texture Maps,Texture Maps,Mapas de textura,Cartes des textures,Mappe Texture,テクスチャマップ,텍스처 맵,Mapas de textura,纹理地图,纹理地图,紋理圖
Studio.MaterialManager.Materials.GroundVariant,Ground Variant,Ground Variant,Variante de suelo,Variante du sol,Variante Terreno,地面のバリエーション,토양 변형,Variante de chão,土地变量,土地变量,土地變種
Studio.MaterialManager.Materials.Glass,Glass,Glass,Vidrio,Verre,Vetro,ガラス,유리,Vidro,玻璃,玻璃,玻璃
Studio.MaterialManager.CreateDialog.General,General,General,General,Général,Generali,全般,일반,Geral,通用,通用,一般
Studio.MaterialManager.MaterialGeneral.General,General,General,General,Général,Generali,全般,일반,Geral,通用,通用,一般
Studio.MaterialManager.CreateDialog.CancelVariant,Cancel,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,取消,取消,取消
Studio.MaterialManager.CreateDialog.NameVariant,Name,Name,Nombre,Nom ,Nome,名前,이름,Nome,名称,名称,名稱
Studio.MaterialManager.CreateDialog.BaseMaterialVariant,Base Material,Base Material,Material base,Matériel de base,Materiale Base,ベース素材,기본 재질,Material base,基础材质,基础材质,基礎材質
Studio.MaterialManager.MaterialTile.BaseMaterial,Base Material,Base Material,Material base,Matériel de base,Materiale Base,ベース素材,기본 재질,Material base,基础材质,基础材质,底部材質
Studio.MaterialManager.CreateDialog.PlaceholderBaseMaterial,Select,Select,Seleccionar,Sélectionner,Seleziona,選ぶ,선택,Selecionar,选择,选择,選擇
Studio.MaterialManager.Categories.Synthetic,Synthetic,Synthetic,Sintético,Synthétique,Sintetico,合成,합성,Sintético,合成,合成,合成
Studio.MaterialManager.CreateDialog.ImportColorMap,Color,Color,Color,Couleur,Colore,色,색상,Cor,颜色,颜色,顏色
Studio.MaterialManager.MaterialInformation.Color,Color,Color,Color,Couleur,Colore,色,색상,Cor,颜色,颜色,顏色
Studio.MaterialManager.MaterialTextures.Color,Color,Color,Color,Couleur,Colore,色,색상,Cor,颜色,颜色,顏色
Studio.MaterialManager.Categories.Snow,Snow,Snow,Nieve,Neige,Neve,雪,눈,Neve,雪,雪,雪
Studio.MaterialManager.Materials.Snow,Snow,Snow,Nieve,Neige,Neve,雪,눈,Neve,雪,雪,雪
Studio.MaterialManager.Materials.WoodPlanksMaterial,Wood Planks Material,Wood Planks Material,Material de tablones de madera,Matériau de planches de bois,Materiale Assi Di Legno,木の板素材,나무 판자 재질,Material de tábuas,木板材质,木板材质,木板材質
Studio.MaterialManager.CreateDialog.ImportNormalMap,Normal,Normal,Normal,Normal,Normale,標準,일반,Normal,标准,标准,普通
Studio.MaterialManager.MaterialInformation.Normal,Normal,Normal,Normal,Normal,Normale,標準,일반,Normal,标准,标准,普通
Studio.MaterialManager.MaterialTextures.Normal,Normal,Normal,Normal,Normal,Normale,標準,일반,Normal,标准,标准,普通
Studio.MaterialManager.CreateDialog.ImportMetalnessMap,Metalness,Metalness,Metalidad,Métallurgie,Metalità,金属度,금속성,Metalidade,金属度,金属度,金屬度
Studio.MaterialManager.MaterialInformation.Metalness,Metalness,Metalness,Metalidad,Métallurgie,Metalità,金属度,금속성,Metalidade,金属度,金属度,金屬度
Studio.MaterialManager.MaterialTextures.Metalness,Metalness,Metalness,Metalidad,Métallurgie,Metallità,金属度,금속성,Metalidade,金属度,金属度,金屬度
Studio.MaterialManager.CreateDialog.ImportRoughnessMap,Roughness,Roughness,Rugosidad,Rugosité,Ruvidità,粗さ,거칠기,Aspereza,粗糙度,粗糙度,粗糙度
Studio.MaterialManager.MaterialInformation.Roughness,Roughness,Roughness,Rugosidad,Rugosité,Ruvidità,粗さ,거칠기,Aspereza,粗糙度,粗糙度,粗糙度
Studio.MaterialManager.MaterialTextures.Roughness,Roughness,Roughness,Rugosidad,Rugosité,Ruvidità,粗さ,거칠기,Aspereza,粗糙度,粗糙度,粗糙度
Studio.MaterialManager.TopBar.Create,Create Material Variant,Create Material Variant,Crear variante de material,Créer une variante de matériau,Crea Variante Materiale,素材のバリエーションを作成,재질 변형 만들기,Criar variante de material,创建材质变量,创建材质变量,建立變種材質
Studio.MaterialManager.TopBar.Search,Search Materials,Search Materials,Buscar materiales,Rechercher des matériaux,Cerca Materiali,素材をサーチ,재질 검색,Pesquisar materiais,搜索材质,搜索材质,搜尋材質
Studio.MaterialManager.TopBar.Show,Show in Explorer,Show in Explorer,Mostrar en Explorador,Afficher dans l'explorateur,Mostra in Explorer,エクスプローラで表示,탐색기에서 표시,Mostrar no Explorador,在项目管理器中显示,在项目管理器中显示,在總管中顯示
Studio.MaterialManager.TopBar.Apply,Apply to Selected Parts,Apply to Selected Parts,Aplicar a piezas seleccionadas,Appliquer aux pièces sélectionnées,Applica alle parti selezionate,選択したパーツに適用,선택한 파트에 적용,Aplicar às partes selecionadas,应用于所选部件,应用于所选部件,套用到選取零件
Studio.MaterialManager.MaterialTile.TerrainMaterial,Terrain Material,Terrain Material,Material del terreno,Partie matériau,Materiale Terreno,地形の素材,지형 재질,Material do terreno,地形材质,地形材质,地形材質
Studio.MaterialManager.TopBar.Filters,Filters,Filters,Filtros,Filtres,Filtri,フィルタ,필터,Filtros,筛选,筛选,篩選
Studio.MaterialManager.PhysicalProperties.FrictionWeight,Friction Weight,Friction Weight,Peso de la fricción,Poids de friction,Peso Di Attrito,摩擦重量,마찰 가중치,Peso do atrito,摩擦重量,摩擦重量,摩擦力重量
Studio.MaterialManager.Import.MetalnessMapPreview,Metalness Map Preview,Metalness Map Preview,Vista previa de la metalidad del mapa,Prévisualisation de la carte des métaux,Anteprima Mappa Metallizzazione,金属度マップのプレビュー,금속성 맵 미리 보기,Prévia da metalidade do mapa,金属度地图预览,金属度地图预览,金屬度圖預覽
Studio.MaterialManager.MaterialTile.PartMaterial,Part Material,Part Material,Material de la pieza,Partie matériau,Parte Materiale,パーツ素材,파트 재질,Material da parte,部件材质,部件材质,零件材質
Studio.MaterialManager.MaterialTile.BaseVariant,Base Variant,Base Variant,Variante base,Variante de base,Base Variante,ベースのバリエーション,기본 변형,Variante base,基础变量,基础变量,底部變種
Studio.MaterialManager.Materials.Granite,Granite,Granite,Granito,Granite,Granito,花崗岩,화강암,Granito,花岗岩,花岗岩,花崗岩
Studio.MaterialManager.Materials.FabricMaterial,Fabric Material,Fabric Material,Material de tela,Matériau textile,Materiale Tessuto,生地の素材,직물 재질,Material de tecido,布料材质,布料材质,布料材質
Studio.MaterialManager.MaterialTile.PartVariant,Part Variant,Part Variant,Variante de la pieza,Variante de la pièce,Parte Variante,パーツのバリエーション,파트 변형,Variante da parte,部件变量,部件变量,零件變種
Studio.MaterialManager.PhysicalProperties.Density,Density,Density,Densidad,Densité,Densità,密度,밀도,Densidade,密度,密度,密度
Studio.MaterialManager.MaterialTile.TerrainVariant,Terrain Variant,Terrain Variant,Variante del terreno,Variante du terrain,Variante Terreno,地形のバリエーション,지형 변형,Variante do terreno,地形变量,地形变量,地形變種
Studio.MaterialManager.Materials.DiamondPlate,Diamond Plate,Diamond Plate,Placa de diamante,Plaque en Diamant,Piastra Di Diamante,ダイヤモンド板,다이아몬드판,Placa de diamante,花纹板,花纹板,菱形板
Studio.MaterialManager.LocalImageSelector.NoImageSelected,No image,No image,Sin imagen,Pas d'image,Nessuna immagine,画像なし,이미지 없음,Sem imagem,无图像,无图像,無圖像
Studio.MaterialManager.Import.ColorMapPreview,Color Map Preview,Color Map Preview,Vista previa del color del mapa,Aperçu de la carte en couleurs,Anteprima Mappa Colore,カラーマップのプレビュー,컬러 맵 미리 보기,Prévia do mapa de cores,颜色地图预览,颜色地图预览,顏色圖預覽
Studio.MaterialManager.Materials.LeafyGrass,Leafy Grass,Leafy Grass,Hierba espesa,Herbe à feuilles,Erba A Foglie,草地,무성한 잔디,Grama alta,绿叶草,绿叶草,綠葉草
Studio.MaterialManager.MaterialStatus.DuplicateMaterial,"Found multiple MaterialVariants matching the name and override material in MaterialService, this may cause unexpected behavior at runtime.","Found multiple MaterialVariants matching the name and override material in MaterialService, this may cause unexpected behavior at runtime.",Encontrados múltiples MaterialVariants que coinciden con el nombre y reemplazan el material en MaterialService. Esto puede causar un comportamiento inesperado en el tiempo de ejecución.,Plusieurs MaterialVariants correspondant au nom et au matériau de remplacement de MaterialService ont été trouvés. Cela pourrait avoir des résultats inattendus.,"Trovato più MaterialVarianti che corrispondono al nome e sostituiscono il materiale in MaterialService, questo può causare un comportamento inatteso in fase di esecuzione.",MaterialService で名前とオーバーライド素材に一致する複数の MaterialVariant が見つかりました。これは実行時に予期しない動作を引き起こす可能性があります。,MaterialService에서 이름 및 재정의 재질과 일치하는 여러 MaterialVariant를 찾았습니다. 이로 인해 런타임 시 예기치 않은 동작이 발생할 수 있습니다.,"Encontrados múltiplos MaterialVariant que correspondem ao nome e ao material de substituição do MaterialService, isso pode causar um comportamento inesperado no tempo de execução.",MaterialService 中找到多个符合名称和覆盖材质的 MaterialVariant，这可能会在运行时发生异常。,MaterialService 中找到多个符合名称和覆盖材质的 MaterialVariant，这可能会在运行时发生异常。,MaterialService 中找到多個符合名稱和覆寫材質的 MaterialVariant，執行階段可能會發生異常行為。
Studio.MaterialManager.Materials.CrackedLava,Cracked Lava,Cracked Lava,Lava agrietada,Lave fissurée,Lava incrinata,ひび割れた溶岩,갈라진 용암,Lava rachada,裂纹熔岩,裂纹熔岩,裂紋熔岩
Studio.MaterialManager.Import.NormalMapPreview,Normal Map Preview,Normal Map Preview,Vista previa del mapa normal,Prévisualisation de la carte normale,Anteprima Mappa Normale,標準マップのプレビュー,일반 맵 미리 보기,Prévia do mapa normal,标准地图预览,标准地图预览,法線圖預覽
Studio.MaterialManager.Materials.Basalt,Basalt,Basalt,Basalto,Basalte,Basalto,玄武岩,현무암,Basalto,玄武岩,玄武岩,玄武岩
Studio.MaterialManager.Categories.All,All,All,Todas,Tout,Tutti,すべて,전체,Tudo,全部,全部,全部
Studio.MaterialManager.Categories.Metal,Metal,Metal,Metal,Métal,Metallo,金属,금속,Metal,金属,金属,金屬
Studio.MaterialManager.Materials.Metal,Metal,Metal,Metal,Métal,Metallo,金属,금속,Metal,金属,金属,金屬
Studio.MaterialManager.Categories.FinishedWood,Finished Wood,Finished Wood,Madera terminada,Bois Fini,Legno Rifinito,加工済みの木材,도장처리 목재,Madeira trabalhada,加工木材,加工木材,上漆木材
Studio.MaterialManager.Categories.Natural,Natural,Natural,Natural,Naturel,Naturale,ナチュラル,자연,Natural,天然,天然,天然
Studio.MaterialManager.Categories.Rock,Rock,Rock,Roca,Roche,Roccia,岩,바위,Rocha,岩石,岩石,岩石
Studio.MaterialManager.Materials.Rock,Rock,Rock,Roca,Rocher,Roccia,岩,바위,Rocha,岩石,岩石,岩石
Studio.MaterialManager.Categories.Asphalt,Asphalt,Asphalt,Asfalto,Asphalte,Asfalto,アスファルト,아스팔트,Asfalto,沥青,沥青,瀝青
Studio.MaterialManager.Materials.Asphalt,Asphalt,Asphalt,Alquitrán,Asphalte,Asfalto,アスファルト,아스팔트,Asfalto,沥青,沥青,瀝青
