Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Common.Action.Apply,,,Apply,Apply,تطبيق,Anwenden,Aplicar,Appliquer,लागू करें,Terapkan,Applica,適用,적용,Zastosuj,Aplicar,Применить,ปรับใช้,Uygula,Áp Dụng,应用,应用,套用
Studio.Common.Action.Back,,,Back,Back,الرجوع,Zurück,Volver,Retour,वापस जाएँ,Kembali,Indietro,戻る,뒤로,Wstecz,Voltar,Назад,กลับ,Geri,Lưng,返回,返回,返回
Studio.Common.Action.Cancel,,,Cancel,Cancel,إلغاء,Abbrechen,Cancelar,Annuler,कैंसिल करें,Batalkan,Annulla,キャンセル,취소,Anuluj,Cancelar,Отмена,ยกเลิก,İptal,Hủy Bỏ,取消,取消,取消
Studio.Common.Action.Clear,,,Clear,Clear,مسح,Löschen,Eliminar,Effacer,डिलीट करें,Hapus,Cancella,消す,지우기,Wyczyść,Limpar,Очистить,เคลียร์,Temizle,Dọn Sạch,清除,清除,清除
Studio.Common.Action.Close,,,Close,Close,إغلاق,Schließen,Cerrar,Fermer,बंद करें,Tutup,Chiudi,閉じる,닫기,Zamknij,Fechar,Закрыть,ปิด,Kapat,Đóng,关闭,关闭,關閉
Studio.Common.Action.Copy,,,Copy,Copy,نسخ,Kopieren,Copiar,Copier,कॉपी करें,Salin,Copia,コピー,복사,Skopiuj,Copiar,Скопировать,คัดลอก,Kopyala,Sao Chép,复制,复制,複製
Studio.Common.Action.Create,,,Create,Create,إنشاء,Erstellen,Crear,Créer,क्रिएट करें,Buat,Crea,作成,만들기,Utwórz,Criar,Создать,สร้าง,Oluştur,Tạo,创建,创建,建立
Studio.Common.Action.Cut,,,Cut,Cut,قص,Ausschneiden,Cortar,Couper,कट करें,Potong,Taglia,切り抜き,잘라내기,Wytnij,Recortar,Вырезать,ตัด,Kes,Cắt,剪切,剪切,剪下
Studio.Common.Action.Delete,,,Delete,Delete,حذف,Löschen,Eliminar,Supprimer,डिलीट करें,Hapus,Elimina,削除,삭제,Usuń,Excluir,Удалить,ลบ,Sil,Xóa,删除,删除,刪除
Studio.Common.Action.Edit,,,Edit,Edit,تحرير,Bearbeiten,Editar,Modifier,एडिट करें,Edit,Modifica,編集,편집,Edytuj,Editar,Изменить,แก้ไข,Düzenle,Chỉnh Sửa,编辑,编辑,編輯
Studio.Common.Action.Exit,,,Exit,Exit,خروج,Verlassen,Salir,Quitter,बाहर निकलें,Keluar,Esci,退出,나가기,Zamknij,Sair,Выход,ออก,Çık,Thoát,退出,退出,結束
Studio.Common.Action.File,,,File,File,ملف,Datei,Archivo,Fichier,फ़ाइल,File,File,ファイル,파일,Plik,Arquivo,Файл,ไฟล์,Dosyala,Tệp,文件,文件,檔案
