Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AlignmentTool.Plugin.Toolbar,,,Alignment,Alignment,محاذاة,Ausrichtung,Alineación,Alignement,अलाइनमेंट,Penyelarasan,Allineamento,整列,정렬,Wyrównanie,Alinhamento,,การจัดแนว,Hizalama,Căn Chỉnh,对齐,对齐,對齊
Studio.AlignmentTool.Plugin.Button,,,Align Tool,Align Tool,أداة المحاذاة,Ausrichtigungs-Tool,Herramienta de Alineación,Outil d'alignement,अलाइन टूल,Alat Penyelarasan,Strumento Allinea,整列ツール,정렬 도구,Narzędzie do wyrównywania,Ferramenta Alinhar,,เครื่องมือจัดแนว,Hizalama aracı,Công Cụ Căn Chỉnh,对齐工具,对齐工具,對齊工具
Studio.AlignmentTool.Plugin.Description,,,Align selected objects.,Align selected objects.,محاذاة العناصر المحددة.,Ausgewählte Objekte ausrichten.,Alinear objetos seleccionados,Aligner les objets sélectionnés.,सिलेक्ट किए गए ऑब्जेक्ट अलाइन करें.,Menyelaraskan objek yang dipilih.,Allinea gli oggetti selezionati.,選択済みのオブジェクトを整列配置。,선택한 개체를 정렬합니다.,Wyrównaj zaznaczone obiekty.,Alinhar objetos selecionados.,,จัดแนววัตถุที่เลือก,Seçili nesneleri hizala.,Căn chỉnh các đối tượng đã chọn.,对齐选中的对象。,对齐选中的对象。,對齊選取物件。
Studio.AlignmentTool.Plugin.WindowTitle,,,Align Tool,Align Tool,أداة المحاذاة,Ausrichtigungs-Tool,Herramienta de Alineación,Outil d'alignement,अलाइन टूल,Alat Penyelarasan,Strumento Allinea,整列ツール,정렬 도구,Narzędzie do wyrównywania,Ferramenta Alinhar,,เครื่องมือจัดแนว,Hizalama aracı,Công Cụ Căn Chỉnh,对齐工具,对齐工具,對齊工具
Studio.AlignmentTool.MainView.AlignButton,,,Align,Align,محاذاة,Ausrichten,Alinear,Aligner,अलाइन करें,Selaraskan,Allinea,整列,정렬,Wyrównaj,Alinhar,,จัดแนว,Hizala,Căn Chỉnh,对齐,对齐,對齊
Studio.AlignmentTool.ModeSection.Min,,,Min,Min,الحد الأدنى,Min,Inferior,Min,कम से कम,Min,Min,最小,최소,Min.,Mín.,,ต่ำสุด,Min.,Tối Thiểu,最小,最小,最小
Studio.AlignmentTool.ModeSection.Center,,,Center,Center,الوسط,Mitte,Centro,Centre,सेंटर,Pusat,Centro,中央,중앙,Środek,Centralizado,,ศูนย์กลาง,Merkez,Giữa,中央,中央,中央
Studio.AlignmentTool.ModeSection.Max,,,Max,Max,الحد الأقصى,Max,Superior,Max,ज़्यादा से ज़्यादा,Maks,Max,最大,최대,Maks.,Máx.,,สูงสุด,Maks.,Tối Đa,最大,最大,最大
Studio.AlignmentTool.AxesSection.Title,,,Align In,Align In,محاذاة في,Ausrichten in,Alinear en,Aligner sur,अलाइन करें,Selaraskan Di,Allinea in,以下に整列配置,축 정렬,Wyrównaj w,Alinhar em,,จัดแนวใน,Şurada hizala:,Căn Chỉnh Trong,对齐轴,对齐轴,對齊軸
Studio.AlignmentTool.AxesSection.WorldX,,,World X,World X,العالم X,Welt X,X del mundo,Monde X,World X,X Dunia,Mondo X,X世界,월드 X축,Świat X,X do Mundo,,โลก X,Dünya X,Thế Giới X,世界 X 轴,世界 X 轴,世界 X 軸
Studio.AlignmentTool.AxesSection.WorldY,,,World Y,World Y,العالم Y,Welt Y,Y del mundo,Monde Y,World Y,Y Dunia,Mondo Y,Y世界,월드 Y축,Świat Y,Y do Mundo,,โลก Y,Dünya Y,Thế Giới Y,世界 Y 轴,世界 Y 轴,世界 Y 軸
Studio.AlignmentTool.AxesSection.WorldZ,,,World Z,World Z,العالم Z,Welt Z,Z del mundo,Monde Z,World Z,Z Dunia,Mondo Z,Z世界,월드 Z축,Świat Z,Z do Mundo,,โลก Z,Dünya Z,Thế Giới Z,世界 Z 轴,世界 Z 轴,世界 Z 軸
Studio.AlignmentTool.RelativeToSection.Title,,,Relative To,Relative To,بالنسبة إلى,Relativ zu,Relativo a,En relation avec,इससे संबंधित,Sehubungan Dengan,Relativo a,以下に相対,기준,W odniesieniu do,Relativo a,,เกี่ยวข้องกับ,Göreli:,So Với,相对于,相对于,相對於
Studio.AlignmentTool.RelativeToSection.Selection,,,Selection Bounds,Selection Bounds,تحديد الحدود,Auswahlgrenzen,Límites de la selección,Limites de la sélection,सिलेक्शन बाउंड,Batas Pilihan,Selezione limiti,選択範囲,선택 범위,Granice zaznaczenia,Limites da seleção,,ขอบเขตการเลือก,Seçim sınırları,Giới Hạn Lựa Chọn,选择范围,选择范围,選取內容範圍
Studio.AlignmentTool.RelativeToSection.Active,,,Active Object,Active Object,العنصر النشط,Aktives Objekt,Objeto activo,Objet actif,ऐक्टिव ऑब्जेक्ट,Objek Aktif,Oggetto attivo,アクティブオブジェクト,활성 개체,Aktywny obiekt,Objeto ativo,,วัตถุที่ใช้งานอยู่,Etkin nesne,Đối Tượng Đang Hoạt Động,活跃对象,活跃对象,活躍物件
Studio.AlignmentTool.ErrorMessages.InvalidActiveObject,,,Align to {name} is not supported.,Align to {name} is not supported.,المحاذاة إلى {name} غير مدعوم.,Ausrichten auf {name} wird nicht unterstützt.,La alineación en {name} no es compatible.,L'alignement sur {name} n'est pas pris en charge.,{name} से अलाइनमेंट को सपोर्ट नहीं करता है.,Selaraskan ke {name} tidak didukung.,Allineamento a {name} non supportato.,{name} への整列には対応していません。,{name}에 대한 정렬은 지원되지 않습니다.,Brak obsługi wyrównywania typu {name}.,Alinhamento a {name} não é suportado.,,ไม่รองรับการจัดแนว {name},{name} ile hizalama desteklenmiyor.,Không hỗ trợ căn chỉnh {name}.,不支持与 {name} 对齐。,不支持与 {name} 对齐。,不支援對齊到 {name}。
Studio.AlignmentTool.AxesSettingsFragment.World,,,World,World,العالم,Welt,Mundo,Monde,दुनिया,Dunia,Mondo,世界,월드,Świat,Mundo,,โลก,Dünya,Thế Giới,世界,世界,世界
Studio.AlignmentTool.AxesSettingsFragment.Local,,,Local,Local,محلي,Lokal,Local,Local,लोकल,Lokal,Locale,ローカル,로컬,Lokalne,Local,,ในเครื่อง,Yerel,Cục Bộ,本地,本地,本機
Studio.AlignmentTool.AxesSettingsFragment.X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X
Studio.AlignmentTool.AxesSettingsFragment.Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y
Studio.AlignmentTool.AxesSettingsFragment.Z,,,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,,Z,Z,Z,Z,Z,Z
Studio.AlignmentTool.RelativeToSection.ActiveObjectTooltip,,,Align objects relative to the most recently selected object. Click on a selected object to switch the active object.,Align objects relative to the most recently selected object. Click on a selected object to switch the active object.,محاذاة العناصر ذات الصلة بآخر عنصر تم تحديده. انقر على كائن محدّد لجعله نشطًا.,"Objekte relativ zum zuletzt ausgewählten Objekt ausrichten. Klicke auf ein ausgewähltes Objekt, um das aktive Objekt zu wechseln.",Alinea objetos relativos al objeto seleccionado más recientemente. Haz clic en el objeto seleccionado para cambiar el objeto activo.,Aligner les objets par rapport à l'objet sélectionné le plus récemment. Cliquer sur un objet sélectionné pour passer à l'objet actif.,सबसे हालिया सिलेक्ट किए गए ऑब्जेक्ट से अलाइन करें. ऐक्टिव ऑब्जेक्ट स्विच करने के लिए किसी सिलेक्ट किए गए ऑब्जेक्ट पर क्लिक करें.,Selaraskan objek sehubungan dengan objek yang paling terakhir dipilih. Klik objek yang dipilih untuk beralih ke objek aktif.,Allinea gli oggetti relativi all'oggetto selezionato per ultimo. Clicca su un oggetto selezionato per cambiare l'oggetto attivo.,一番最近、選択済みのオブジェクトに対してオブジェクトを整列させる。アクティブオブジェクトに変えるには、選択済みのオブジェクトの上をクリック。,가장 최근에 선택한 개체를 기준으로 개체를 정렬합니다. 선택한 개체를 클릭해 활성 개체를 전환합니다.,"Wyrównywanie obiektów w odniesieniu do ostatniego zaznaczonego obiektu. Kliknij zaznaczony obiekt, aby zmienić aktywny obiekt.",Alinha objetos em relação ao objeto selecionado mais recentemente. Clique em um objeto selecionado para mudar o objeto ativo.,,จัดแนววัตถุที่เกี่ยวข้องกับวัตถุได้เลือกไปล่าสุด คลิกที่วัตถุที่เลือกเพื่อสลับวัตถุที่ใช้งานอยู่,Nesneleri son seçili nesneye göre hizala. Etkin nesneyi değiştirmek için seçili bir nesneye dokun.,Căn chỉnh các đối tượng theo đối tượng được chọn gần đây nhất. Nhấp vào một đối tượng đã chọn để chuyển đổi đối tượng đang hoạt động.,根据最近选择的对象来对齐对象。点击选中的对象来切换活跃对象。,根据最近选择的对象来对齐对象。点击选中的对象来切换活跃对象。,將物件相對於最後選取的物件對齊。按下選取的物件即可切換活躍物件。
Studio.AlignmentTool.ModeSection.Title,,,Mode,Mode,الوضع,Modus,Modo,Mode,मोड,Mode,Modalità,モード,모드,Tryb,Modo,Режим,โหมด,Mod,Chế Độ,模式,模式,模式
Studio.AlignmentTool.Callout.Title,,,Align Objects with Align Tool,Align Objects with Align Tool,محاذاة العناصر باستخدام أداة المحاذاة,Objekte mit Ausrichtigungs-Tool ausrichten,Alinear objetos con la herramienta de Alineación,Aligner les objets avec Outil d'Alignement,अलाइन टूल से ऑब्जेक्ट अलाइन करें,Selaraskan Objek dengan Alat Penyelarasan,Allinea oggetti con strumento Allinea,整列ツールでオブジェクトを整列させる,정렬 도구를 사용해 개체 정렬,Wyrównaj obiekty przy użyciu narzędzia do wyrównywania,Alinhar objetos com a Ferramenta alinhar,,จัดแนววัตถุด้วยเครื่องมือจัดตําแหน่ง,Nesneleri hizalama aracı ile hizala,Căn Chỉnh Đối Tượng với Công Cụ Căn Chỉnh,用对齐工具对齐对象,用对齐工具对齐对象,使用對齊工具對齊物件
