Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.RigBuilder.Plugin.Toolbar,,,Rig Builder,Rig Builder,أداة إنشاء Rig,Rig Builder,Construcción de rig,Constructeur de rig,रिग बिल्डर,Perakit Rig,Assemblaggio rig,リグビルダー,리그 빌더,Tworzenie szkieletu,Construtor de rig,,เครื่องมือสร้าง Rig,Düzenek Yapıcı,Trình Dựng Khung Xương,骨架建造器,骨架建造器,骨架建造器
Studio.RigBuilder.Plugin.Button,,,Build Rig,Build Rig,إنشاء Rig,Rig bauen,Construir rig,Construire un rig,बिल्ड रिग,Rakit Rig,Assembla rig,リグを作成,리그 빌드,Zbuduj szkielet,Construir rig,,สร้าง Rig,Düzenek oluştur,Dựng Khung Xương,建造骨架,建造骨架,建造骨架
Studio.RigBuilder.Plugin.Description,,,Insert rigs to animate,Insert rigs to animate,أدخل كائنات Rig لتحريكها,Rigs zum Animieren einfügen,Inserta rigs para animar,Insérer des rigs pour animer,ऐनिमेट करने के लिए रिग डालें,Masukkan rig untuk dianimasikan,Inserisci rig da animare,アニメ化するにはリグを挿入,애니메이션화할 리그 삽입,Wstaw szkielety do zanimowania,Inserir rigs para animar,,แทรก Rig เพื่อทำให้เคลื่อนไหว,Animasyon oluşturulacak düzenekler ekle,Chèn khung xương để tạo hiệu ứng động,插入骨架以制作动画,插入骨架以制作动画,插入要製成動畫的骨架
Studio.RigBuilder.Plugin.Title,,,Rig Builder,Rig Builder,أداة إنشاء Rig,Rig Builder,Constructor de rig,Constructeur de rig,रिग बिल्डर,Perakit Rig,Assemblaggio rig,リグビルダー,리그 빌더,Tworzenie szkieletu,Construtor de rig,,เครื่องมือสร้าง Rig,Düzenek Yapıcı,Trình Dựng Khung Xương,骨架建造器,骨架建造器,骨架建造器
Studio.RigBuilder.RigOption.BlockRig,,,Block Rig,Block Rig,حظر Rig,Block-Rig,Rig de bloque,Bloquer rig,ब्लॉक रिग,Rig Blok,Blocca rig,ブロックリグ,블록 리그,Zablokuj szkielet,Rig de bloco,,Rig บล็อก,Blok Düzenek,Khung Xương Dạng Khối,方块骨架,方块骨架,方塊骨架
Studio.RigBuilder.RigOption.MeshRig,,,Mesh Rig,Mesh Rig,مجسم Rig شبكي,Mesh-Rig,Rig de malla,Maillage,मेश रिग,Rig Mesh,Rig mesh,メッシュリグ,메시 리그,Szkielet siatki,Rig de malha,,Rig เมช,Mesh Düzenek,Mesh Khung Xương,网格骨架,网格骨架,網格骨架
Studio.RigBuilder.RigOption.ManRig,,,Man Rig,Man Rig,مجسم Rig لرجل,Mann-Rig,Rig de hombre,Rig homme,मैन रिग,Rig Laki-Laki,Rig uomo,男性リグ,맨 리그,Szkielet mężczyzny,Rig de homem,,Rig ผู้ชาย,Erkek Düzeneği,Khung Xương Đàn Ông,男性骨架,男性骨架,男性骨架
Studio.RigBuilder.RigOption.WomanRig,,,Woman Rig,Woman Rig,مجسم Rig لامرأة,Frauen-Rig,Rig de mujer,Rig femme,वुमन रिग,Rig Perempuan,Rig donna,女性リグ,우먼 리그,Szkielet kobiety,Rig de mulher,,Rig ผู้หญิง,Kadın Düzeneği,Khung Xương Phụ Nữ,女性骨架,女性骨架,女性骨架
Studio.RigBuilder.R15RigOption.RthroNormal,,,Rthro Normal,Rthro Normal,Rthro عادي,Rthro normal,Rthro normal,Rthro normal,Rthro नॉर्मल,Rthro Normal,Rthro normale,標準 Rthro,일반 Rthro,R-tropoidalny normalny,Rthro normal,,Rthro ปกติ,Rthro Normal,Hình Người Bình Thường,标准 Rthro,标准 Rthro,標準 Rthro
Studio.RigBuilder.R15RigOption.RthroSlender,,,Rthro Slender,Rthro Slender,Rthro رشيق,Rthro schmal,Rhtro delgado,Rthro mince,Rthro स्लेंडर,Rthro Ramping,Rthro longilineo,スリム Rthro,슬렌더 Rthro,R-tropoidalny szczupły,Rthro magro,,Rthro เพรียวบาง,Rthro İnce,Hình Người Mảnh Khảnh,偏瘦 Rthro,偏瘦 Rthro,纖瘦 Rthro
