Key,Source,Context,en-us
Studio.GameSettings.General.PluginName,Game Settings, ,Game Settings
Studio.GameSettings.General.PluginDescription,Update settings related to current game, ,Update settings related to current game
Studio.GameSettings.General.SettingOn,On, ,On
Studio.GameSettings.General.SettingOff,Off, ,Off
Studio.GameSettings.General.ReplyYes,Yes, ,Yes
Studio.GameSettings.General.ReplyNo,No, ,No
Studio.GameSettings.General.ReplyOK,OK, ,OK
Studio.GameSettings.General.ReplyAgree,Agree, ,Agree
Studio.GameSettings.General.ReplyDisagree,Disagree, ,Disagree
Studio.GameSettings.General.ButtonSave,Save, ,Save
Studio.GameSettings.General.ButtonCancel,Cancel, ,Cancel
Studio.GameSettings.General.ButtonDiscard,Discard, ,Discard
Studio.GameSettings.General.ButtonCreate,Create, ,Create
Studio.GameSettings.General.ButtonEdit,Edit, ,Edit
Studio.GameSettings.General.ButtonView,View, ,View
Studio.GameSettings.General.ButtonPublish,Publish, ,Publish
Studio.GameSettings.General.ButtonShutdownAllServers,Shutdown, ,Shutdown
Studio.GameSettings.General.ButtonRetry,Retry, ,Retry
Studio.GameSettings.General.SettingsFailedToLoad,Failed to load settings for page, ,Failed to load settings for page
Studio.GameSettings.General.SettingsInsufficientPermission,Only the game owner can edit these settings, ,Only the game owner can edit these settings
Studio.GameSettings.General.CategoryBasicInfo,Basic Info, ,Basic Info
Studio.GameSettings.General.CategoryAvatar,Avatar, ,Avatar
Studio.GameSettings.General.CategorySecurity,Security, ,Security
Studio.GameSettings.General.CategoryWorld,World, ,World
Studio.GameSettings.General.CategoryOptions,Options, ,Options
Studio.GameSettings.General.CategoryPlaces,Places, ,Places
Studio.GameSettings.General.TitleName,Name, ,Name
Studio.GameSettings.General.TitleDescription,Description, ,Description
Studio.GameSettings.General.TitlePlayability,Playability, ,Playability
Studio.GameSettings.General.TitleGameIcon,Game Icon, ,Game Icon
Studio.GameSettings.General.TitleThumbnails,Screenshots & Videos, ,Screenshots & Videos
Studio.GameSettings.General.TitleGenre,Genre, ,Genre
Studio.GameSettings.General.TitleDevices,Playable Devices, ,Playable Devices
Studio.GameSettings.General.TitleHttp,Allow HTTP Requests, ,Allow HTTP Requests
Studio.GameSettings.General.TitleStudioApiServices,Enable Studio Access to API Services, ,Enable Studio Access to API Services
Studio.GameSettings.General.TitleShutdownAllServers,Shutdown All Servers, ,Shutdown All Servers
Studio.GameSettings.General.TitleAllowCopying,Allow Copying, ,Allow Copying
Studio.GameSettings.General.PlayabilityHeader,Who can play this game?, ,Who can play this game?
Studio.GameSettings.General.PlayabilityPublic,Public, ,Public
Studio.GameSettings.General.PlayabilityGroup,Group Members, ,Group Members
Studio.GameSettings.General.PlayabilityFriends,Friends, ,Friends
Studio.GameSettings.General.PlayabilityPrivate,Private, ,Private
Studio.GameSettings.General.PlayabilityPublicDesc,Anyone on Roblox, ,Anyone on Roblox
Studio.GameSettings.General.PlayabilityGroupDesc,Members of {group}, ,Members of {group}
Studio.GameSettings.General.PlayabilityFriendsDesc,Friends on Roblox, ,Friends on Roblox
Studio.GameSettings.General.PlayabilityPrivateDesc,Only developers of this game, ,Only developers of this game
Studio.GameSettings.General.GameIconHint,Acceptable files: {fileTypes}{newline}Recommended resolution: 512 x 512, ,Acceptable files: {fileTypes}{newline}Recommended resolution: 512 x 512
Studio.GameSettings.General.GameIconModeration,Image will be reviewed by moderators before being made visible to other users, ,Image will be reviewed by moderators before being made visible to other users
Studio.GameSettings.General.GameIconTutorial,New to making icons? Check out the Icon Tutorial., ,New to making icons? Check out the Icon Tutorial.
Studio.GameSettings.General.GameIconChange,Change, ,Change
Studio.GameSettings.General.ThumbnailsLimit,You can set up to {maxThumbnails:int} screenshots and YouTube videos for a game., ,You can set up to {maxThumbnails:int} screenshots and YouTube videos for a game.
Studio.GameSettings.General.ThumbnailsHint,Acceptable image files: {fileTypes} | Recommended resolution: 1920 x 1080, ,Acceptable image files: {fileTypes} | Recommended resolution: 1920 x 1080
Studio.GameSettings.General.ThumbnailsModeration,Items will be reviewed by moderators before being made visible to other users., ,Items will be reviewed by moderators before being made visible to other users.
Studio.GameSettings.General.ThumbnailsCount,Up to {maxThumbnails:int} items, ,Up to {maxThumbnails:int} items
Studio.GameSettings.General.ImagePreview,Preview, ,Preview
Studio.GameSettings.General.ImageReview,In Review, ,In Review
Studio.GameSettings.General.GenreAll,All, ,All
Studio.GameSettings.General.GenreAdventure,Adventure, ,Adventure
Studio.GameSettings.General.GenreBuilding,Building, ,Building
Studio.GameSettings.General.GenreComedy,Comedy, ,Comedy
Studio.GameSettings.General.GenreFighting,Fighting, ,Fighting
Studio.GameSettings.General.GenreFPS,FPS, ,FPS
Studio.GameSettings.General.GenreHorror,Horror, ,Horror
Studio.GameSettings.General.GenreMedieval,Medieval, ,Medieval
Studio.GameSettings.General.GenreMilitary,Military, ,Military
Studio.GameSettings.General.GenreNaval,Naval, ,Naval
Studio.GameSettings.General.GenreRPG,RPG, ,RPG
Studio.GameSettings.General.GenreSciFi,Sci-Fi, ,Sci-Fi
Studio.GameSettings.General.GenreSports,Sports, ,Sports
Studio.GameSettings.General.GenreTownAndCity,Town and City, ,Town and City
Studio.GameSettings.General.GenreWestern,Western, ,Western
Studio.GameSettings.General.DeviceComputer,Computer, ,Computer
Studio.GameSettings.General.DevicePhone,Phone, ,Phone
Studio.GameSettings.General.DeviceTablet,Tablet, ,Tablet
Studio.GameSettings.General.DeviceConsole,Console, ,Console
Studio.GameSettings.General.HttpDesc,Allow game server to issue requests to remote servers., ,Allow game server to issue requests to remote servers.
Studio.GameSettings.General.StudioApiServicesDesc,Enables Studio access to game services such as Data Stores, ,Enables Studio access to game services such as Data Stores
Studio.GameSettings.General.StudioShutdownAllServicesDesc,This button will shutdown all currently running instances of your game, ,This button will shutdown all currently running instances of your game
Studio.GameSettings.General.AllowCopyingDesc,This option grants every user of Roblox the right to use (in various ways) the content you are not sharing. For more information about sharing content please review the Terms of Use., ,This option grants every user of Roblox the right to use (in various ways) the content you are not sharing. For more information about sharing content please review the Terms of Use.
Studio.GameSettings.General.ContentDialogHeader,Content Agreement, ,Content Agreement
Studio.GameSettings.General.ContentDialogBody,Do you agree that your game is controller compatible and contains NONE of the following?, ,Do you agree that your game is controller compatible and contains NONE of the following?
Studio.GameSettings.General.ContentDialogItem1,Blood or Gore, ,Blood or Gore
Studio.GameSettings.General.ContentDialogItem2,Intense Violence, ,Intense Violence
Studio.GameSettings.General.ContentDialogItem3,Strong Language (Swearing), ,Strong Language (Swearing)
Studio.GameSettings.General.ContentDialogItem4,Robux Gambling, ,Robux Gambling
Studio.GameSettings.General.ContentDialogItem5,Drug Reference or Use, ,Drug Reference or Use
Studio.GameSettings.General.PreviewDialogHeader,Preview, ,Preview
Studio.GameSettings.General.PreviewDialogBody,Studio doesn't currently support video playing, ,Studio doesn't currently support video playing
Studio.GameSettings.General.PreviewDialogLink,Go to YouTube and play the video, ,Go to YouTube and play the video
Studio.GameSettings.General.CancelDialogHeader,Discard Changes, ,Discard Changes
Studio.GameSettings.General.CancelDialogBody,Would you like to discard all changes?, ,Would you like to discard all changes?
Studio.GameSettings.General.ShutdownDialogHeader,Shutdown all servers, ,Shutdown all servers
Studio.GameSettings.General.ShutdownDialogBody,Are you sure you want to shutdown all servers for this game?, ,Are you sure you want to shutdown all servers for this game?
Studio.GameSettings.General.PrivateDialogHeader,Make Private, ,Make Private
Studio.GameSettings.General.PrivateDialogPrompt,Are you sure you want to make this game private?, ,Are you sure you want to make this game private?
Studio.GameSettings.General.PrivateDialogBody,Making this game private will shut down any running games., ,Making this game private will shut down any running games.
Studio.GameSettings.General.AvatarDialogHeader,Warning, ,Warning
Studio.GameSettings.General.AvatarDialogPrompt,Would you like to proceed?, ,Would you like to proceed?
Studio.GameSettings.General.AvatarDialogBody,Changing the game's Avatar Type to this setting will shut down any running games., ,Changing the game's Avatar Type to this setting will shut down any running games.
Studio.GameSettings.General.DeleteDialogHeader,Delete Thumbnail, ,Delete Thumbnail
Studio.GameSettings.General.DeleteDialogBody,Would you like to delete this thumbnail?, ,Would you like to delete this thumbnail?
Studio.GameSettings.General.ImageDialogHeader,No Image Loaded, ,No Image Loaded
Studio.GameSettings.General.ImageDialogBody,Select a compatible image., ,Select a compatible image.
Studio.GameSettings.General.ErrorsOnSaveHeader,Saving Errors, ,Saving Errors
Studio.GameSettings.General.ErrorsOnSaveBody,Could not save game settings., ,Could not save game settings.
Studio.GameSettings.General.ErrorNameEmpty,Name cannot be empty., ,Name cannot be empty.
Studio.GameSettings.General.ErrorNameModerated,The name didn't go through our moderation. Please revise it and try again., ,The name didn't go through our moderation. Please revise it and try again.
Studio.GameSettings.General.ErrorDescModerated,The description didn't go through our moderation. Please revise it and try again., ,The description didn't go through our moderation. Please revise it and try again.
Studio.GameSettings.General.ErrorImageLimit,"You're uploading too much, please wait and try again later.", ,"You're uploading too much, please wait and try again later."
Studio.GameSettings.General.ErrorImageNotRecognized,File uploaded does not match known image format. Try converting to png., ,File uploaded does not match known image format. Try converting to png.
Studio.GameSettings.General.ErrorNoDevices,You must select at least one playable device., ,You must select at least one playable device.
Studio.GameSettings.General.GameIconPrompt,Add Game Icon, ,Add Game Icon
Studio.GameSettings.General.ThumbnailPrompt,Add Thumbnails, ,Add Thumbnails
Studio.GameSettings.General.TitlePresets,Presets, ,Presets
Studio.GameSettings.General.TitleAvatarType,Avatar Type, ,Avatar Type
Studio.GameSettings.General.TitleAnimation,Animation, ,Animation
Studio.GameSettings.General.TitleCollision,Collision, ,Collision
Studio.GameSettings.General.TitleScale,Scale, ,Scale
Studio.GameSettings.General.TitleBodyParts,Body Parts, ,Body Parts
Studio.GameSettings.General.TitleClothing,Clothing, ,Clothing
Studio.GameSettings.General.ScaleHeight,Height, ,Height
Studio.GameSettings.General.ScaleWidth,Width, ,Width
Studio.GameSettings.General.ScaleHead,Head, ,Head
Studio.GameSettings.General.ScaleBodyType,Body Type, ,Body Type
Studio.GameSettings.General.ScaleProportions,Proportions, ,Proportions
Studio.GameSettings.General.PartFace,Face, ,Face
Studio.GameSettings.General.PartHead,Head, ,Head
Studio.GameSettings.General.PartTorso,Torso, ,Torso
Studio.GameSettings.General.PartLeftArm,Left Arm, ,Left Arm
Studio.GameSettings.General.PartRightArm,Right Arm, ,Right Arm
Studio.GameSettings.General.PartLeftLeg,Left Leg, ,Left Leg
Studio.GameSettings.General.PartRightLeg,Right Leg, ,Right Leg
Studio.GameSettings.General.ClothingTShirt,T-Shirt ID, ,T-Shirt ID
Studio.GameSettings.General.ClothingShirt,Shirt ID, ,Shirt ID
Studio.GameSettings.General.ClothingPants,Pants ID, ,Pants ID
Studio.GameSettings.General.PresetDefault,Default, ,Default
Studio.GameSettings.General.PresetClassicScale,Classic Scale, ,Classic Scale
Studio.GameSettings.General.PresetFullClassic,Full Classic, ,Full Classic
Studio.GameSettings.General.PresetRthro,Rthro, ,Rthro
Studio.GameSettings.General.PresetPlayerChoice,Player Choice, ,Player Choice
Studio.GameSettings.General.AvatarTypeR6,R6, ,R6
Studio.GameSettings.General.AvatarTypeR15,R15, ,R15
Studio.GameSettings.General.AvatarTypePlayerChoice,Player Choice, ,Player Choice
Studio.GameSettings.General.AvatarTypeWarning,Change Avatar Type will shut down the running game when save settings, ,Change Avatar Type will shut down the running game when save settings
Studio.GameSettings.General.AnimationStandard,Standard, ,Standard
Studio.GameSettings.General.AnimationPlayerChoice,Player Choice, ,Player Choice
Studio.GameSettings.General.CollisionOuterBox,Outer Box, ,Outer Box
Studio.GameSettings.General.CollisionInnerBox,Inner Box, ,Inner Box
Studio.GameSettings.General.AvatarOverridePrompt,Override Player Choice?, ,Override Player Choice?
Studio.GameSettings.General.AvatarOverrideItem,Custom Item, ,Custom Item
Studio.GameSettings.General.AvatarOverrideId,ID Number, ,ID Number
Studio.GameSettings.General.ErrorOverrideEmpty,ID Number cannot be empty, ,ID Number cannot be empty
