Key,Context,Source,en-us
Studio.App.Breakpoints.DeleteAllBreakpoints,Debugger widgets,Delete All Breakpoints,Delete All Breakpoints
Studio.App.Breakpoints.DeleteSelectedBreakpoint,Debugger widgets,Delete Selected Breakpoint,Delete Selected Breakpoint
Studio.App.Breakpoints.GoToSourceCode,Debugger widgets,Go To Source Code,Go To Source Code
Studio.App.CallStack.Source,Call Stack widgets,Source,Source
Studio.App.CallStack.LineNo,Call Stack widgets,Line No.,Line No.
Studio.App.CallStack.FunctionName,Call Stack widgets,Function Name,Function Name
Studio.App.CallStack.Frame,Call Stack widgets,Frame,Frame
Studio.App.CallStack.FunctionExplanation,Call Stack widgets,Function Explanation,Function Explanation
Studio.App.CallStack.What,Call Stack widgets,What,What
Studio.App.RemoteDebugger.TabServerStatus,,Server Status,Server Status
Studio.App.RemoteDebugger.TabAssetOverrides,,Asset Overrides,Asset Overrides
Studio.App.RemoteDebugger.Start,,Start,Start
Studio.App.RemoteDebugger.Stop,,Stop,Stop
Studio.App.RemoteDebugger.AssetProxy,,Asset Proxy:,Asset Proxy:
Studio.App.RemoteDebugger.IpAddress,,IP Address:,IP Address:
Studio.App.RemoteDebugger.Port,,Port:,Port:
Studio.App.RemoteDebugger.AssetProxyStopped,,Asset Proxy stopped,Asset Proxy stopped
Studio.App.RemoteDebugger.AssetProxyRunning2,,Asset Proxy running at %1:%2,Asset Proxy running at %1:%2
Studio.App.RemoteDebugger.AssetProxyError,,Error starting server,Error starting server
Studio.App.RemoteDebugger.InvalidIp,,Invalid IP Address. ,Invalid IP Address. 
Studio.App.RemoteDebugger.InvalidPort,,Invalid Port. ,Invalid Port. 
Studio.App.QDebuggerClient.BreakpointLocationFmt2,,"Location: %1, line %2","Location: %1, line %2"
Studio.App.QDebuggerClient.ConditionText,,Condition,Condition
Studio.App.QDebuggerClient.LogExpressionText,,Log Expression,Log Expression
Studio.App.QDebuggerClient.ContinueExecutionText,,Continuing Execution,Continuing Execution
Studio.App.QDebuggerClient.InvalidText,,Invalid,Invalid
Studio.App.QDebuggerClient.InvalidBreakpointMessage,,The breakpoint will not currently be hit.,The breakpoint will not currently be hit.
Studio.App.WatchWidget.Local,,Local,Local
Studio.App.WatchWidget.Global,,Global,Global
Studio.App.WatchWidget.MyWatches,,My Watches,My Watches
Studio.App.WatchWidget.Expression,,Expression,Expression
Studio.App.WatchWidget.ScriptName,,Script Name,Script Name
Studio.App.WatchWidget.CopyRow,Copy Row in the WatchWidget copies all the variable info via context menu,Copy Row,Copy Row
Studio.App.WatchWidget.CopyEntry,Copy Entry in the WatchWidget copies via context menu only the variable info from the column selected and row currently highlighted,Copy Entry,Copy Entry
Studio.App.CallStackWidget.CurrentScript,,Current Script: ,Current Script: 
Studio.App.RBXMainWindow.EditBreakpointElps,,Edit Breakpoint...,Edit Breakpoint...
Studio.App.RBXMainWindow.EditBreakpoint,,Edit Breakpoint,Edit Breakpoint
Studio.App.RBXMainWindow.InsertConditionalBreakpointElps,,Insert Conditional Breakpoint...,Insert Conditional Breakpoint...
Studio.App.RBXMainWindow.InsertConditionalBreakpoint,,Insert Conditional Breakpoint,Insert Conditional Breakpoint
Studio.App.RBXMainWindow.InsertLogpointElps,,Insert Logpoint...,Insert Logpoint...
Studio.App.RBXMainWindow.InsertLogpoint,,Insert Logpoint,Insert Logpoint
Studio.App.BreakpointsWidget.DisableAllBreakpoints,,Disable All Breakpoints,Disable All Breakpoints
Studio.App.BreakpointsWidget.DoYouWantToDeleteAllBreakpoints,,Do you want to delete all breakpoints?,Do you want to delete all breakpoints?
Studio.App.BreakpointsWidget.EnableAllBreakpoints,,Enable All Breakpoints,Enable All Breakpoints
Studio.App.QDebuggerClient.WatchWindowTitle,,Watch,Watch
Studio.App.QDebuggerClient.WatchExpression,,Watch Expression:,Watch Expression:
Studio.App.QDebuggerClient.Breakpoint,,Breakpoint,Breakpoint
Studio.App.QDebuggerClient.EnableBreakpoint,,Enable Breakpoint,Enable Breakpoint
Studio.App.MyWatchTreeWidget.DeleteAll,,Delete All,Delete All
Studio.App.MyWatchTreeWidget.DeleteWatch,,Delete Watch,Delete Watch
Studio.App.DebuggerClientManager.Disable,,Disable,Disable
Studio.App.DebuggerClientManager.KeepBreakingOnError,,Keep breaking on error,Keep breaking on error
Studio.App.DebuggerClientManager.RobloxLuaDebuggerCaughtError,,"The Roblox Lua Debugger caught an error and will now take you to the exception in the script.

 You can modify this behavior, when a script is open, by going to the Script Menu tab and changing the 'Break On Error' settings. 
","The Roblox Lua Debugger caught an error and will now take you to the exception in the script.

 You can modify this behavior, when a script is open, by going to the Script Menu tab and changing the 'Break On Error' settings. 
"
