Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.LocalizationTools.Plugin.RibbonBarButton,Tools,Tools,Herramientas,Outils,Strumenti,ツール,도구,Ferramentas,Инструменты,工具,工具,工具
Studio.LocalizationTools.EmbeddedTableSection.SectionLabel,Embedded Localization Table,Embedded Localization Table,Tabla de localización insertada,Tableau de localization intégré,Tabella di localizzazione incorporata,埋め込み済み多言語化テーブル,임베디드 로컬라이제이션 테이블,Tabela de localização integrada,Встроенная локализационная таблица,嵌入本地化表格,嵌入本地化表格,內嵌在地化表格
Studio.LocalizationTools.UploadDialogContent.ConfirmUploadDialogTitle,Comfirm Upload,Comfirm Upload,Confirmar carga,Confirmer téléchargement,Conferma caricamento,アップロードを確定,업로드 확인,Confirmar carregamento,Подтвердить загрузку,确认上传,确认上传,確認上傳
Studio.LocalizationTools.CloudTableSection.ReplaceButton,Replace,Replace,Reemplazar,Remplacer,Sostituisci,置き換え,바꾸기,Substituir,Заменить,替换,替换,取代
Studio.LocalizationTools.UploadDialogContent.PatchInvalidLanguagesLabel,Invalid columns:,Invalid columns:,Columnas no válidas:,Colonnes invalides :,Colonne non valide:,無効な列:,유효하지 않은 열:,Colunas inválidas:,Столбцы с ошибками:,无效的列：,无效的列：,無效行：
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureStopText,Stop untranslated text capture,Stop untranslated text capture,Detener la captura del texto no traducido,Arrêter la saisie texte non traduit,Interrompi cattura del testo non tradotto,未翻訳のテキスト抽出を終了,번역되지 않은 텍스트 캡처 중지,Parar captura de texto não traduzido,Остановить захват непереведённого текста,停止抓取未翻译的文本,停止抓取未翻译的文本,停止擷取未翻譯文字
Studio.LocalizationTools.Plugin.WindowTitle,Localization Tools,Localization Tools,Herramientas de localización,Outils de localisation,Strumenti di localizzazione,多言語化ツール,로컬라이제이션 도구,Ferramentas de localização,Инструменты локализации,本地化工具,本地化工具,在地化工具
Studio.LocalizationTools.EmbeddedTableSection.TextCaptureButton,Text Capture,Text Capture,Captura del texto,Saisie de texte,Cattura testo,テキスト抽出,텍스트 캡처,Captura de texto,Захват текста,文本抓取,文本抓取,文字擷取
Studio.LocalizationTools.MessageFrame.UploadingPatchMessage,Uploading patch...,Uploading patch...,Cargando revisión...,Téléchargement patch...,Caricamento della patch...,パッチをアップロード中...,패치를 업로드하는 중...,Fazendo upload da revisão...,Загрузка патча...,正在上传补丁...,正在上传补丁...,正在上傳更新檔……
Studio.LocalizationTools.MessageFrame.BusyMessage,busy,busy,ocupado,occupé,occupato,ビジー状態,사용 중,ocupado,выполняется,系统繁忙,系统繁忙,忙碌
Studio.LocalizationTools.Plugin.ToolbarLabel,Localization,Localization,Localización,Localisation,Localizzazione,多言語化,로컬라이제이션,Localização,Локализация,本地化,本地化,在地化
