Key,Context,Example,Source,en-us,ko,ru,zh-cn
Studio.ReflectionMetadata.ReflectionMetadata.BindableFunction,,,Allow functions defined in one script to be called by another script,Allow functions defined in one script to be called by another script,한 스크립트에 정의된 함수가 다른 스크립트에서 호출되도록 허용합니다,"Разрешить вызов функций, определенных в одном скрипте, другим скриптом",允许一个脚本中定义的函数被其他脚本调用
Studio.ReflectionMetadata.ReflectionMetadata.BindableFunctionInvoke,,,Causes the function assigned to OnInvoke to be called. Arguments passed to this function get passed to OnInvoke function.,Causes the function assigned to OnInvoke to be called. Arguments passed to this function get passed to OnInvoke function.,OnInvoke에 지정된 함수가 호출되도록 합니다. 이 함수에 전달된 인수는 OnInvoke 함수에 전달됩니다.,"Вызывает функцию, назначенную OnInvoke. Аргументы, переданные этой функции, передаются функции OnInvoke.",调用指定给 OnInvoke 的函数。传递给此函数的参数将传给 OnInvoke 函数。
Studio.ReflectionMetadata.ReflectionMetadata.BindableFunctionOnInvoke,,,Should be defined as a function. This function is called when Invoke() is called. Number of arguments is variable.,Should be defined as a function. This function is called when Invoke() is called. Number of arguments is variable.,함수로 정의해야 합니다. 이 함수는 Invoke()가 호출될 때 호출됩니다. 인수의 개수는 가변적입니다.,Необходимо определить как функцию. Эта функция вызывается при вызове функции Invoke(). Количество аргументов может быть различным.,应定义为函数。此函数将在调用 Invoke() 时被调用。参数的数量是可变的。
Studio.ReflectionMetadata.ReflectionMetadata.BindableEvent,,,Allow events defined in one script to be subscribed to by another script,Allow events defined in one script to be subscribed to by another script,한 스크립트에 정의된 이벤트가 다른 스크립트에 의해 구독되도록 허용합니다,"Разрешает скриптам подписываться на события, определенные в другом скрипте",允许一个脚本中定义的事件被其他脚本订阅
Studio.ReflectionMetadata.ReflectionMetadata.BindableEventFire,,,Used to make the custom event fire (see Event for more info). Arguments can be variable length.,Used to make the custom event fire (see Event for more info). Arguments can be variable length.,사용자 지정 이벤트를 발생시키는 데 사용됩니다(자세한 내용은 이벤트 참조). 인수의 길이는 가변적일 수 있습니다.,Используется для генерации пользовательских событий (подробности см. в разделе «Событие»). Аргументы могут быть различной длины.,用于触发自定义事件（更多信息请参见 Event）。参数的长度是可变的。
Studio.ReflectionMetadata.ReflectionMetadata.BindableEventEvent,,,This event fires when the Fire() method is used.  Receives the variable length arguments from Fire().,This event fires when the Fire() method is used.  Receives the variable length arguments from Fire().,이 이벤트는 Fire() 메서드가 사용될 때 발생합니다. Fire()에서 가변 길이 인수를 받습니다.,Это событие возникает при использовании метода Fire() и получает от Fire() аргументы длины переменной.,此事件会在使用 Fire() 方法时触发。从 Fire() 接收可变长度参数。
Studio.ReflectionMetadata.ReflectionMetadata.TouchTransmitter,,,Used by networking and replication code to transmit touch events - no other purpose,Used by networking and replication code to transmit touch events - no other purpose,네트워킹 및 복제 코드에서 터치 이벤트를 전송하는 데 사용 - 다른 목적은 없음,Используется для передачи сенсорных событий через сеть и код репликации — никакой другой цели.,在网络和复制代码中使用，用于传输触碰事件 — 无其他用途
Studio.ReflectionMetadata.ReflectionMetadata.ForceField,,,"Prevents joint breakage from explosions, and stops Humanoids from taking damage","Prevents joint breakage from explosions, and stops Humanoids from taking damage",폭발로 인한 이음 파손 방지 및 휴머노이드 손상 방지,Предотвращает разрушение соединений от взрывов и предотвращает повреждения гуманоидов,阻止爆炸时的接头断开，以及阻止 Humanoid 受到伤害
Studio.ReflectionMetadata.ReflectionMetadata.TeleportService,,,Allows players to seamlessly leave a game and join another,Allows players to seamlessly leave a game and join another,플레이어가 게임을 원활하게 종료하고 다른 게임에 참가할 수 있도록 허용합니다,Позволяет игрокам беспрепятственно покидать игру и присоединяться к другой,允许玩家无缝地离开游戏并加入其他游戏
Studio.ReflectionMetadata.ReflectionMetadata.TeleportServiceCustomizedTeleportUI,,,Deprecated,Deprecated,더 이상 사용되지 않음,Устарело,已过时
Studio.ReflectionMetadata.ReflectionMetadata.CollectionService,,,A service which provides collections of instances based on tags assigned to them.,A service which provides collections of instances based on tags assigned to them.,할당된 태그를 기반으로 인스턴스 모음을 제공하는 서비스입니다.,"Служба, предоставляющая коллекцию экземпляров на основе присвоенных тегов.",根据指定给实例的标记提供实例集合的服务。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceItemAdded,,,Deprecated. Use GetInstanceAddedSignal instead.,Deprecated. Use GetInstanceAddedSignal instead.,더 이상 사용되지 않습니다. 대신 GetInstanceAddedSignal을 사용하세요.,Устарело. Используйте GetInstanceAddedSignal.,已过时。请改用 GetInstanceAddedSignal。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceItemRemoved,,,Deprecated. Use GetInstancedRemovedSignal instead.,Deprecated. Use GetInstancedRemovedSignal instead.,더 이상 사용되지 않습니다. 대신 GetInstancedRemovedSignal을 사용하세요.,Устарело. Используйте GetInstancedRemovedSignal.,已过时。请改用 GetInstancedRemovedSignal。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceGetCollection,,,Deprecated. Use GetTagged instead.,Deprecated. Use GetTagged instead.,더 이상 사용되지 않습니다. 대신 GetTagged를 사용하세요.,Устарело. Используйте GetTagged.,已过时。请改用 GetTagged。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceGetTagged,,,Returns an array of all of the instances in the data model which have the given tag.,Returns an array of all of the instances in the data model which have the given tag.,지정된 태그가 있는 데이터 모델의 모든 인스턴스 배열을 반환합니다.,"Возвращает массив всех экземпляров модели данных, имеющих данный тег.",返回一个数据模型中拥有给定标记的所有实例的数组。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceAddTag,,,Adds a tag to an instance.,Adds a tag to an instance.,인스턴스에 태그를 추가합니다.,Добавляет тег к экземпляру.,为实例添加标记。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceRemoveTag,,,Removes a tag to an instance.,Removes a tag to an instance.,인스턴스에 대한 태그를 제거합니다.,Удаляет тег экземпляра.,为实例移除标记。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceGetTags,,,Returns a list of all the collections that an instance belongs to.,Returns a list of all the collections that an instance belongs to.,인스턴스가 속한 모든 모음 목록을 반환합니다.,"Возвращает список всех коллекций, в которые входит экземпляр.",返回实例所属的所有集合的列表。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceHasTag,,,Returns whether the given instance has the given tag.,Returns whether the given instance has the given tag.,지정된 인스턴스에 지정된 태그가 있는지 여부를 반환합니다.,"Проверяет, имеет ли данный экземпляр данный тег.",返回指定实例是否拥有指定标记。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceGetInstanceAddedSignal,,,Returns a signal that fires when the given tag either has a new instance with that tag added to the data model or that tag is assigned to an instance within the data model.,Returns a signal that fires when the given tag either has a new instance with that tag added to the data model or that tag is assigned to an instance within the data model.,"지정된 태그에 해당 태그가 데이터 모델에 추가된 새 인스턴스가 있거나, 해당 태그가 데이터 모델 내의 인스턴스에 할당될 때 발생하는 신호를 반환합니다.","Возвращает сигнал, который появляется либо когда появляется новый экземпляр, в котором этот тег добавлен в модель данных, либо когда тег назначен экземпляру внутри модели данных.",当拥有指定标记的新实例被添加至数据模型，或该标记被指定给数据模型内的实例时，返回触发信号。
Studio.ReflectionMetadata.ReflectionMetadata.CollectionServiceGetInstanceRemovedSignal,,,Returns a signal that fires when the given tag either has an instance with that tag removed from the data model or that tag is removed from an instance within the data model.,Returns a signal that fires when the given tag either has an instance with that tag removed from the data model or that tag is removed from an instance within the data model.,지정된 태그에 해당 태그가 데이터 모델에서 제거된 인스턴스가 있거나 해당 태그가 데이터 모델 내 인스턴스에서 제거될 때 발생하는 신호를 반환합니다.,"Возвращает сигнал, который возникает либо когда появляется новый экземпляр, в котором этот тег убран из модели данных, либо когда тег убран из экземпляра внутри модели данных.",当拥有指定标记的实例被从数据模型中移除，或该标记被从数据模型内的实例上移除时，返回触发信号。
Studio.ReflectionMetadata.ReflectionMetadata.AssetService,,,A service used to set and get information about assets stored on the Roblox website.,A service used to set and get information about assets stored on the Roblox website.,Roblox 웹사이트에 저장된 애셋에 대한 정보를 설정하고 얻는 데 사용되는 서비스입니다.,"Служба, используемая для настройки и получения информации о ресурсах, хранящихся на веб-сайте Roblox.",用于设置和获取 Roblox 网站上存储的资源相关信息的服务。
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceRevertAsset,,,"Reverts a given place id to the version number provided. Returns true if successful on reverting, false otherwise.","Reverts a given place id to the version number provided. Returns true if successful on reverting, false otherwise.","지정된 장소 ID를 제공된 버전 번호로 되돌립니다. 되돌리기에 성공하면 True를, 그렇지 않으면 False를 반환합니다.",Восстанавливает идентификатор заданного места до указанной версии. Возвращает значение true в случае успешного возврата и false в случае неудачи.,将指定场景 ID 恢复为提供的版本号。如果恢复成功则返回 true，否则返回 false。
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceSetPlacePermissions,,,Sets the permissions for a placeID to the place accessType. An optional table (inviteList) can be included that will set the accessType for only the player names provided. The table should be set up as an array of usernames (strings).,Sets the permissions for a placeID to the place accessType. An optional table (inviteList) can be included that will set the accessType for only the player names provided. The table should be set up as an array of usernames (strings).,placeID에 대한 권한을 장소 accessType으로 설정합니다. 제공된 플레이어 이름에 대해서만 accessType을 설정하는 선택적 테이블(inviteList)이 포함될 수 있습니다. 테이블은 사용자 이름(문자열) 배열로 설정해야 합니다.,"Устанавливает разрешения для placeID в accessType места. Можно добавить дополнительную таблицу (inviteList), которая задает accessType только для указанных имен игроков. Таблица должна иметь формат массива имен пользователей (строк).",设置一个 placeID 对场景 accessType 的许可。可以包含可选表（inviteList），以将 accessType 设为仅限提供的玩家名访问。可选表应设置为用户名（字符串）数组。
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceGetPlacePermissions,,,"Given a placeID, this function will return a table with the permissions of the place. Useful for determining what kind of permissions a particular user may have for a place.","Given a placeID, this function will return a table with the permissions of the place. Useful for determining what kind of permissions a particular user may have for a place.",placeID가 지정되면 이 함수는 장소에 대한 권한이 있는 테이블을 반환합니다. 특정 사용자가 장소에 대해 어떤 권한을 가질 지 결정하는 데 유용합니다.,"При наличии placeID данная функция возвращает таблицу с разрешениями места. Полезно при необходимости определить, какими разрешениями может обладать тот или иной пользователь для данного места.",指定一个 placeID，此函数将返回该场景的许可表。常用于确认某个用户所拥有的某个场景的许可。
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceGetAssetVersions,,,"Given a placeID, this function will return a table with the version info of the place. An optional arg of page number can be used to page through all revisions (a single page may hold about 50 revisions).","Given a placeID, this function will return a table with the version info of the place. An optional arg of page number can be used to page through all revisions (a single page may hold about 50 revisions).",placeID가 지정되면 이 함수는 장소의 버전 정보가 포함된 테이블을 반환합니다. 선택적으로 페이지 번호의 인수를 사용하여 모든 개정판을 페이징할 수 있습니다(단일 페이지에는 약 50 개의 개정판이 있을 수 있음).,При наличии placeID данная функция возвращает таблицу с информацией о версии места. Для просмотра всех исправлений можно использовать дополнительный аргумент номера страницы (одна страница может содержать около 50 исправлений).,指定一个 placeID，此函数将返回该场景的版本信息表。可选的页面数量参数用于给所有版本分页 (单一页面可容纳约 50 个版本)。
Studio.ReflectionMetadata.ReflectionMetadata.AssetServiceGetCreatorAssetID,,,"Given a creationID, this function will return the asset that created the creationID. If no other asset created the given creationID, 0 is returned.","Given a creationID, this function will return the asset that created the creationID. If no other asset created the given creationID, 0 is returned.","creationID가 지정되면, 이 함수는 creationID를 생성한 애셋을 반환합니다. 지정된 creationID를 생성한 다른 애셋이 없으면 0이 반환됩니다.","При наличии creationID данная функция возвращает актив, создавший creationID. Если данный creationID не был создан никаким другим ресурсом, то возвращается 0.",指定一个 creationID，此函数将返回创建该 creationID 的资源。如果无其他资源创建指定 creationID ，则返回 0。
Studio.ReflectionMetadata.ReflectionMetadata.HttpServiceHttpEnabled,,,Enabling http requests from scripts,Enabling http requests from scripts,스크립트에서 http 요청 활성화,Включение HTTP-запросов из скриптов,启用来自脚本的 http 请求
Studio.ReflectionMetadata.ReflectionMetadata.AnalyticsServiceApiKey,,,Set ApiKey,Set ApiKey,ApiKey 설정,Задать ApiKey,设置 ApiKey
Studio.ReflectionMetadata.ReflectionMetadata.InsertService,,,A service used to insert objects stored on the website into the game.,A service used to insert objects stored on the website into the game.,웹사이트에 저장된 개체를 게임에 삽입하는 데 사용되는 서비스입니다.,"Служба, используемая для вставки в игру объектов, хранящихся на веб-сайте.",用于将存储在网站上的对象插入至游戏中的服务。
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceAllowClientInsertModels,,,Can be set in non-filtering-enabled places to allow LoadAsset to be used in LocalScripts.,Can be set in non-filtering-enabled places to allow LoadAsset to be used in LocalScripts.,필터링이 가능하지 않은 장소에서 LoadAsset을 LocalScript에서 사용할 수 있도록 설정할 수 있습니다.,"Может быть задан в местах, не поддерживающих фильтры, чтобы разрешить использование LoadAsset в LocalScripts.",可以在未启用过滤器的场景中设置，以允许在 LocalScript 中使用 LoadAsset。
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceAllowInsertFreeModels,,,Allows free models to be inserted into place.,Allows free models to be inserted into place.,무료 모델을 장소에 삽입하도록 허용합니다.,Позволяет вставлять в место свободные модели.,允许将免费模型插入至场景。
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceGetCollection,,,Returns a table for the assets stored in the category.  A category is an setId from www.roblox.com that links to a set.  <a href='http://wiki.roblox.com/index.php?title=API:Class/InsertService/GetCollection' target='_blank'>More info on table format</a>. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>More info on sets</a>,Returns a table for the assets stored in the category.  A category is an setId from www.roblox.com that links to a set.  <a href='http://wiki.roblox.com/index.php?title=API:Class/InsertService/GetCollection' target='_blank'>More info on table format</a>. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>More info on sets</a>,카테고리에 저장된 애셋의 테이블을 반환합니다. 카테고리는 세트에 연결되는 www.roblox.com의 setId입니다. <a href='http://wiki.roblox.com/index.php?title=API:Class/InsertService/GetCollection' target='_blank'>테이블 형식에 대한 추가 정보</a>. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>세트에 대한 추가 정보</a>,"Возвращает таблицу для ресурсов, хранящихся в категории. Категория — это setId с веб-сайта www.roblox.com, который ссылается на набор. <a href='http://wiki.roblox.com/index.php?title=API:Class/InsertService/GetCollection' target='_blank'>Узнать больше о формате таблицы</a>. <a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>Узнать больше о наборах</a>",返回一个存储在该类别中的资源表。类别为 www.roblox.com 上关联至一个集合的 setId。<a href='http://wiki.roblox.com/index.php?title=API:Class/InsertService/GetCollection' target='_blank'>关于表格式的更多信息</a>。<a href='http://wiki.roblox.com/index.php/Sets' target='_blank'>关于集合的更多信息</a>
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceInsert,,,"Inserts the Instance into the workspace.  It is recommended to use Instance.Parent = game.Workspace instead, as this can cause issues currently.","Inserts the Instance into the workspace.  It is recommended to use Instance.Parent = game.Workspace instead, as this can cause issues currently.",인스턴스를 작업 공간에 삽입합니다. 현재는 이로 인해 문제가 발생할 수 있으므로 Instance.Parent = game.Workspace를 대신 사용하는 것이 좋습니다.,"Вставляет экземпляр в рабочую область. Рекомендуется использовать Instance.Parent = game.Workspace, так как в данный момент это может привести к ошибкам.",将 Instance 插入至工作区。推荐改为使用 Instance.Parent = game.Workspace，因为此方法目前可能导致出现问题。
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceApproveAssetId,,,Deprecated,Deprecated,더 이상 사용되지 않음,Устарело,已过时
Studio.ReflectionMetadata.ReflectionMetadata.InsertServiceApproveAssetVersionId,,,Deprecated,Deprecated,더 이상 사용되지 않음,Устарело,已过时
