Key,Context,Source,en-us
Studio.App.AddEmulationDeviceDialog.AddNewDevice,,Add New Device,Add New Device
Studio.App.AddEmulationDeviceDialog.BottomSafeZoneOffset,,Bottom,Bottom
Studio.App.AddEmulationDeviceDialog.DeviceForm,,Device Form,Device Form
Studio.App.AddEmulationDeviceDialog.DeviceMemoryMB,,Simulated Memory (MB),Simulated Memory (MB)
Studio.App.AddEmulationDeviceDialog.DeviceName,,Device Name,Device Name
Studio.App.AddEmulationDeviceDialog.GuiInsets,,GuiInsets,GuiInsets
Studio.App.AddEmulationDeviceDialog.KeyboardAnimationDuration,,Keyboard Animation Duration (s),Keyboard Animation Duration (s)
Studio.App.AddEmulationDeviceDialog.KeyboardSettings,,Keyboard Settings,Keyboard Settings
Studio.App.AddEmulationDeviceDialog.LandscapeKeyboardHeight,,Keyboard Height (Landscape),Keyboard Height (Landscape)
Studio.App.AddEmulationDeviceDialog.LandscapeSafeZoneOffsets,,SafeZoneOffsets (Landscape),SafeZoneOffsets (Landscape)
Studio.App.AddEmulationDeviceDialog.LeftSafeZoneOffset,,Left,Left
Studio.App.AddEmulationDeviceDialog.NameInUse1,,"<nobr><font color=""#ff0000"">The name ""%1"" is already in use.</font></nobr>","<nobr><font color=""#ff0000"">The name ""%1"" is already in use.</font></nobr>"
Studio.App.AddEmulationDeviceDialog.Platform,,Platform,Platform
Studio.App.AddEmulationDeviceDialog.PortraitKeyboardHeight,,Keyboard Height (Portrait),Keyboard Height (Portrait)
Studio.App.AddEmulationDeviceDialog.PortraitSafeZoneOffsets,,SafeZoneOffsets (Portrait),SafeZoneOffsets (Portrait)
Studio.App.AddEmulationDeviceDialog.ResolutionDpi,,Resolution (DPI),Resolution (DPI)
Studio.App.AddEmulationDeviceDialog.RightSafeZoneOffset,,Right,Right
Studio.App.AddEmulationDeviceDialog.TopSafeZoneOffset,,Top,Top
Studio.App.AddImageDialog.ChooseFile,,Choose File,Choose File
Studio.App.AddImageDialog.ChooseImageUpload,,Choose image to upload,Choose image to upload
Studio.App.AddImageDialog.CreateAssetName,,Creating asset name...,Creating asset name...
Studio.App.AddImageDialog.FileDoesNotExist,,File does not exist,File does not exist
Studio.App.AddImageDialog.Image,,Image:,Image:
Studio.App.AddImageDialog.ImageFileRequired,,Image file is required,Image file is required
Studio.App.AssetManagerService.AliasNameInvalid,,Alias name is invalid,Alias name is invalid
Studio.App.AssetManagerService.AssetIdInvalid,,AssetId is invalid,AssetId is invalid
Studio.App.AssetManagerService.DataModelInvalid,,DataModel is invalid,DataModel is invalid
Studio.App.AssetManagerService.InsertInstanceExceptionArg1,,Exception while inserting instance into datamodel: %1,Exception while inserting instance into datamodel: %1
Studio.App.AssetManagerService.InvalidArgumentExceptionArg1,,Exception while converting string to id: %1,Exception while converting string to id: %1
Studio.App.AssetManagerService.MessageFieldNotFound,,"'success' is false, 'message' field not found","'success' is false, 'message' field not found"
Studio.App.AssetManagerService.NoModificationsForPublish,,No modifications available for Publish,No modifications available for Publish
Studio.App.AssetManagerService.PackageIdInvalid,,PackageId is invalid,PackageId is invalid
Studio.App.AssetManagerService.PackageInsertErrorArg1,,Error while inserting package: %1,Error while inserting package: %1
Studio.App.AssetManagerService.PlaceIdInvalid,,PlaceId is invalid,PlaceId is invalid
Studio.App.AssetManagerService.ResponseInvalid,,Http response is invalid,Http response is invalid
Studio.App.AssetManagerService.ReturnedIdMalformed,,Id returned for mesh part is malformed,Id returned for mesh part is malformed
Studio.App.AuthenticationHelper.AuthFailedTimeout,,Could not authenticate user. Request timed out.,Could not authenticate user. Request timed out.
Studio.App.AuthenticationHelper.AuthFailedTryAgain,,Authentication failed. Please try again or contact support if the problem persists.,Authentication failed. Please try again or contact support if the problem persists.
Studio.App.AutoSave.AutoSaveRecovery,,Auto-Save Recovery,Auto-Save Recovery
Studio.App.AutoSaveDialog.ConfirmAutoSaveDelete,,Confirm Auto-Save Delete,Confirm Auto-Save Delete
Studio.App.AutoSaveDialog.ConfirmMessage1,,Do you want to delete all auto-recovery files?  There are %1 files.,Do you want to delete all auto-recovery files?  There are %1 files.
Studio.App.AutoSaveDialog.ConfirmMessageSingular,,Do you want to delete all auto-recovery files?  There is 1 file.,Do you want to delete all auto-recovery files?  There is 1 file.
Studio.App.AutoSaveDialog.ConfirmTitle,,Confirm Auto-Recovery Delete,Confirm Auto-Recovery Delete
