Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.AnimationClipEditor.Plugin.Description,"Create, preview, and publish Animation clips","Create, preview, and publish Animation clips","Crea, previsualiza y publica clips de animación","Créer, prévisualiser et publier des clips d'animation",アニメーションクリップを作成、プレビュー、公開,"애니메이션 클립 만들기, 미리보기 및 게시","Criar, visualizar e publicar clips de animação","Создавайте, просматривайте и публикуйте анимационные клипы",创建、预览和发布动画片段,创建、预览和发布动画片段,創作、預覽和發布動畫片段
Studio.AnimationClipEditor.Title.MinPBSParam,Minimum playback speed is {speed}x,Minimum playback speed is {speed}x,La velocidad mínima de reproducción es {speed}x, , ,최소 재생 속도는 {speed}x입니다, , , , ,最慢播放速度為 {speed}x
Studio.AnimationClipEditor.Settings.Seconds,Seconds:Frames,Seconds:Frames,Segundos: Fotogramas,Taux d'images,秒:フレーム,초:프레임,Segundos: Quadros,Секунды:Кадры,秒：帧,秒：帧,秒：影格
Studio.AnimationClipEditor.Plugin.Toolbar,Animations,Animations,Animaciones,Animations,アニメーション,애니메이션,Animações,Анимация,动画,动画,動畫
Studio.AnimationClipEditor.Plugin.Button,Animation Editor,Animation Editor,Editor de animación,Editeur d'animation,アニメーションエディタ,애니메이션 편집기,Editor de animação,Редактор анимации,动画编辑器,动画编辑器,動畫編輯器
Studio.AnimationClipEditor.Plugin.Name,Animation Editor,Animation Editor,Editor de animación,Éditeur d'animation,アニメーションエディタ,애니메이션 편집기,Editor de animação,Редактор анимации,动画编辑器,动画编辑器,動畫編輯器
Studio.AnimationClipEditor.Settings.CustomFPS,Custom,Custom,Personalizar,Personnaliser,カスタム,사용자 정의,Personalizar,Пользовательская,自定义,自定义,自訂
Studio.AnimationClipEditor.Settings.CustomPlaybackSpeed,Custom,Custom,Personalizada,Personnalisé,カスタム,사용자 정의,Personalizar, ,自定义,自定义,自訂
Studio.AnimationClipEditor.ContextMenu.AddKeyframeHere,Add Keyframe Here,Add Keyframe Here,Añadir fotograma clave aquí,Ajouter des images-clés ici,ここにキーフレームを追加,여기에 키프레임 추가,Adicionar quadro chave aqui,Добавить сюда ключевой кадр,在此处添加关键帧,在此处添加关键帧,在此增加關鍵格
Studio.AnimationClipEditor.ContextMenu.AddResetKeyframe,Add Reset Keyframe Here,Add Reset Keyframe Here,Añadir fotograma reiniciado aquí,Ajouter l'image-clé réinitialiser ici,ここにキーフレーム再設定を追加,여기에 재설정 키프레임 추가,Adicionar quadro chave reiniciado aqui,Добавить сюда сброс ключевого кадра,在此处添加重置关键帧,在此处添加重置关键帧,在此增加重置關鍵格
