Key,Source,en-us
Studio.TerrainToolsV2.SeaLevel.End,{1:int},Replace Complete: {1:int} seconds.
Studio.TerrainToolsV2.Warning.MaximumSize,{1:int},Size cannot be greater than {1:int}.
Studio.TerrainToolsV2.Warning.MinimumSize,{1:int},Size cannot be less than {1:int}.
Studio.TerrainToolsV2.Action.Apply, ,Apply
Studio.TerrainToolsV2.Action.Back, ,Back
Studio.TerrainToolsV2.Action.Cancel, ,Cancel
Studio.TerrainToolsV2.Action.Clear, ,Clear
Studio.TerrainToolsV2.Action.Close, ,Close
Studio.TerrainToolsV2.Action.Continue, ,Continue
Studio.TerrainToolsV2.Action.Create, ,Create
Studio.TerrainToolsV2.Action.Cut, ,Cut
Studio.TerrainToolsV2.Action.Dismiss, ,Dismiss
Studio.TerrainToolsV2.Action.Edit, ,Edit
Studio.TerrainToolsV2.Action.Exit, ,Exit
Studio.TerrainToolsV2.Action.File, ,File
Studio.TerrainToolsV2.Action.Find, ,Find
Studio.TerrainToolsV2.Action.Goto, ,Goto
Studio.TerrainToolsV2.Action.Help, ,Help
Studio.TerrainToolsV2.Action.Home, ,Home
Studio.TerrainToolsV2.Action.Ignore, ,Ignore
Studio.TerrainToolsV2.Action.Insert, ,Insert
Studio.TerrainToolsV2.Action.LearnMore, ,Learn more
Studio.TerrainToolsV2.Action.New, ,New
Studio.TerrainToolsV2.Action.Next, ,Next
Studio.TerrainToolsV2.Action.No, ,No
Studio.TerrainToolsV2.Action.OK, ,OK
Studio.TerrainToolsV2.Action.Okay, ,Okay
Studio.TerrainToolsV2.Action.Open, ,Open
Studio.TerrainToolsV2.Action.Pause, ,Pause
Studio.TerrainToolsV2.Action.Play, ,Play
Studio.TerrainToolsV2.Action.Previous, ,Previous
Studio.TerrainToolsV2.Action.Redo, ,Redo
Studio.TerrainToolsV2.Action.Reload, ,Reload
Studio.TerrainToolsV2.Action.Remove, ,Remove
Studio.TerrainToolsV2.Action.Rename, ,Rename
Studio.TerrainToolsV2.Action.Replace, ,Replace
Studio.TerrainToolsV2.Action.Resume, ,Resume
Studio.TerrainToolsV2.Action.Retry, ,Retry
Studio.TerrainToolsV2.Action.Save, ,Save
Studio.TerrainToolsV2.Action.Share, ,Share
Studio.TerrainToolsV2.Action.Stop, ,Stop
Studio.TerrainToolsV2.Action.Undo, ,Undo
Studio.TerrainToolsV2.Action.Update, ,Update
Studio.TerrainToolsV2.Action.Yes, ,Yes
Studio.TerrainToolsV2.AssetIdSelector.PlaceHolderText, ,Select game asset image
Studio.TerrainToolsV2.BrushSettings.Add, ,Add
Studio.TerrainToolsV2.BrushSettings.Advanced, ,Advanced
Studio.TerrainToolsV2.BrushSettings.Apply, ,Apply
Studio.TerrainToolsV2.BrushSettings.Auto, ,Auto
Studio.TerrainToolsV2.BrushSettings.BaseSize, ,Base Size
Studio.TerrainToolsV2.BrushSettings.BottomPivot, ,Bot
Studio.TerrainToolsV2.BrushSettings.BrushMode, ,Brush Mode
Studio.TerrainToolsV2.BrushSettings.BrushModeTooltip, ,Alt to perform opposite action
Studio.TerrainToolsV2.BrushSettings.BrushSettings, ,Brush Settings
Studio.TerrainToolsV2.BrushSettings.CenterPivot, ,Cen
Studio.TerrainToolsV2.BrushSettings.Edit, ,Edit
Studio.TerrainToolsV2.BrushSettings.EditPlane, ,Edit Plane
Studio.TerrainToolsV2.BrushSettings.EditPlaneTooltip, ,Ctrl+Shift+Space
Studio.TerrainToolsV2.BrushSettings.Fill, ,Fill
Studio.TerrainToolsV2.BrushSettings.FixedPlane, ,Fixed Plane
Studio.TerrainToolsV2.BrushSettings.FlattenMode, ,Flatten Mode
Studio.TerrainToolsV2.BrushSettings.Height, ,Height
Studio.TerrainToolsV2.BrushSettings.IgnoreParts, ,Ignore Parts
Studio.TerrainToolsV2.BrushSettings.IgnoreWater, ,Ignore Water
Studio.TerrainToolsV2.BrushSettings.Manual, ,Manual
Studio.TerrainToolsV2.BrushSettings.Material, ,Material
Studio.TerrainToolsV2.BrushSettings.MaterialMode, ,Material Mode
Studio.TerrainToolsV2.BrushSettings.Off, ,Off
Studio.TerrainToolsV2.BrushSettings.Paint, ,Paint
Studio.TerrainToolsV2.BrushSettings.PivotPosition, ,Pivot Position
Studio.TerrainToolsV2.BrushSettings.PlaneLock, ,Plane Lock
Studio.TerrainToolsV2.BrushSettings.PlanePosition, ,Plane Position
Studio.TerrainToolsV2.BrushSettings.Position, ,Position
Studio.TerrainToolsV2.BrushSettings.Replace, ,Replace
Studio.TerrainToolsV2.BrushSettings.Reset, ,Reset
Studio.TerrainToolsV2.BrushSettings.Rotation, ,Rotation
Studio.TerrainToolsV2.BrushSettings.Shape, ,Shape
Studio.TerrainToolsV2.BrushSettings.Size, ,Size
Studio.TerrainToolsV2.BrushSettings.SnapToVoxels, ,Snap to Voxels
Studio.TerrainToolsV2.BrushSettings.Strength, ,Strength
Studio.TerrainToolsV2.BrushSettings.Subtract, ,Subtract
Studio.TerrainToolsV2.BrushSettings.TopPivot, ,Top
Studio.TerrainToolsV2.ClearTool.ConfirmationMessage, ,Do you want to clear all terrain?
Studio.TerrainToolsV2.ClearTool.ConfirmationTitle, ,Clear Terrain
Studio.TerrainToolsV2.ColormapCallout.Description, ,Colormaps convert image colors to terrain materials using Roblox Studio's color key.
Studio.TerrainToolsV2.ColormapCallout.Title, ,Colormaps
Studio.TerrainToolsV2.Confirmation.No, ,No
Studio.TerrainToolsV2.Confirmation.Yes, ,Yes
Studio.TerrainToolsV2.ConvertMode.Biome, ,Biome
Studio.TerrainToolsV2.ConvertMode.ConvertMode, ,Fill
Studio.TerrainToolsV2.ConvertMode.Material, ,Material
Studio.TerrainToolsV2.ConvertPart.Convert, ,Convert
Studio.TerrainToolsV2.ConvertPart.ConvertFailed, ,Convert failed for instance {1}
