Key,Source,en-us
Studio.AlignmentTool.ModeSection.Center,Center,Center
Studio.AlignmentTool.Plugin.WindowTitle,Align Tool,Align Tool
Studio.AlignmentTool.ModeSection.Min,Min,Min
Studio.AlignmentTool.ErrorMessages.InvalidActiveObject,Align to {name} is not supported.,Align to {name} is not supported.
Studio.AlignmentTool.MainView.AlignButton,Align,Align
Studio.AlignmentTool.RelativeToSection.Active,Active Object,Active Object
Studio.AlignmentTool.ModeSection.Title,Mode,Mode
Studio.AlignmentTool.ModeSection.Max,Max,Max
Studio.AlignmentTool.AxesSection.Title,Align In,Align In
Studio.AlignmentTool.AxesSettingsFragment.World,World,World
Studio.AlignmentTool.AxesSettingsFragment.Local,Local,Local
Studio.AlignmentTool.AxesSettingsFragment.X,X,X
Studio.AlignmentTool.AxesSettingsFragment.Y,Y,Y
Studio.AlignmentTool.Callout.Description,"Choose Min, Center or Max mode with Align In and Relative To options, then click Align button to align selected objects. Use View Selector to check World X/Y/Z.","Choose Min, Center or Max mode with Align In and Relative To options, then click Align button to align selected objects. Use View Selector to check World X/Y/Z."
Studio.AlignmentTool.AxesSettingsFragment.Z,Z,Z
Studio.AlignmentTool.RelativeToSection.Title,Relative To,Relative To
Studio.AlignmentTool.RelativeToSection.Selection,Selection Bounds,Selection Bounds
Studio.AlignmentTool.RelativeToSection.ActiveObjectTooltip,Align objects relative to the most recently selected object. Click on a selected object to switch the active object.,Align objects relative to the most recently selected object. Click on a selected object to switch the active object.
Studio.AlignmentTool.Callout.Title,Align Objects with Align Tool,Align Objects with Align Tool
