Key,Source,Context,en-us,ko,zh-cn
Studio.Common.Action.Apply,Apply, ,Apply,적용,应用
Studio.Common.Action.Back,Back, ,Back,뒤로,返回
Studio.Common.Action.Cancel,Cancel, ,Cancel,취소,取消
Studio.Common.Action.Clear,Clear, ,Clear,지우기,清除
Studio.Common.Action.Close,Close, ,Close,닫기,关闭
Studio.Common.Action.Copy,Copy, ,Copy,복사,复制
Studio.Common.Action.Create,Create, ,Create,만들기,创建
Studio.Common.Action.Cut,Cut, ,Cut,잘라내기,剪切
Studio.Common.Action.Delete,Delete, ,Delete,삭제,删除
Studio.Common.Action.Edit,Edit, ,Edit,편집,编辑
Studio.Common.Action.Exit,Exit, ,Exit,나가기,退出
Studio.Common.Action.File,File, ,File,파일,文件
Studio.Common.Action.Find,Find, ,Find,찾기,查找
Studio.Common.Action.Help,Help, ,Help,도움말,帮助
Studio.Common.Action.Home,Home, ,Home,홈,首页
Studio.Common.Action.Ignore,Ignore, ,Ignore,무시,忽略
Studio.Common.Action.Insert,Insert, ,Insert,삽입,插入
Studio.Common.Action.New,New, ,New,새로 만들기,新增
Studio.Common.Action.Next,Next, ,Next,다음,下一个
Studio.Common.Action.No,No, ,No,아니요,否
Studio.Common.Action.OK,OK, ,OK,확인,确认
Studio.Common.Action.Okay,Okay, ,Okay,확인,好的
Studio.Common.Action.Open,Open, ,Open,열기,打开
Studio.Common.Action.Paste,Paste, ,Paste,붙여넣기,粘贴
Studio.Common.Action.Pause,Pause, ,Pause,일시 중지,暂停
Studio.Common.Action.Play,Play, ,Play,플레이,播放
Studio.Common.Action.Previous,Previous, ,Previous,이전,上一个
Studio.Common.Action.Reload,Reload, ,Reload,다시 불러오기,重新加载
Studio.Common.Action.Remove,Remove, ,Remove,제거,删除
Studio.Common.Action.Rename,Rename, ,Rename,이름 변경,重命名
Studio.Common.Action.Replace,Replace, ,Replace,바꾸기,替换
Studio.Common.Action.Resize,Resize, ,Resize,크기 조정,缩放
Studio.Common.Action.Retry,Retry, ,Retry,다시 시도,重试
Studio.Common.Action.Save,Save, ,Save,저장,保存
Studio.Common.Action.Select,Select, ,Select,선택,选择
Studio.Common.Action.Share,Share, ,Share,공유,分享
Studio.Common.Action.Stop,Stop, ,Stop,중지,停止
Studio.Common.Action.Yes,Yes, ,Yes,예,是
Studio.Common.Action.Continue,Continue, ,Continue,계속,继续
Studio.Common.Action.Redo,Redo, ,Redo,다시 실행,恢复
Studio.Common.Action.Undo,Undo, ,Undo,실행 취소,撤消
Studio.Common.Action.Update,Update, ,Update,업데이트,更新
Studio.Common.Action.Reset,Reset, ,Reset,재설정,重置
Studio.Common.Action.Fill,Fill, ,Fill,채우기,填充
Studio.Common.Action.Goto,Goto, ,Goto,이동,前往
Studio.Common.Action.Move,Move, ,Move,이동,移动
Studio.Common.Action.Rotate,Rotate, ,Rotate,회전,旋转
Studio.Common.Action.Error,Error, ,Error,오류,错误
Studio.Common.Action.Height,Height, ,Height,높이,高度
Studio.Common.Action.LabelWithColon1,%1:, ,%1:,%1:,%1
Studio.Common.Action.Name,Name, ,Name,이름,名称
Studio.Common.Action.Search,Search, ,Search,검색,搜索
Studio.Common.Action.Value,Value, ,Value,값,值
Studio.Common.Action.Warning,Warning, ,Warning,경고,警告
Studio.Common.Action.Width,Width, ,Width,넓이,宽度
Studio.Common.Action.Submit,Submit, ,Submit,제출,提交
Studio.Common.Action.Install,Install, ,Install,설치,安装
Studio.Common.Action.Installed,Installed, ,Installed,설치됨,已安装
Studio.Common.Action.Loading,Loading..., ,Loading...,불러오는 중...,正在加载...
Studio.Common.Action.Resume,Resume, ,Resume,재개,继续
Studio.Toolbox.General.ToolboxToolbarName,Toolbox, ,Toolbox,도구 상자,工具箱
Studio.Toolbox.General.CategoryModels,Models, ,Models,모델,模型
Studio.Toolbox.General.CategoryDecals,Images, ,Images,이미지,图片
Studio.Toolbox.General.CategoryMeshes,Meshes, ,Meshes,메시,网格
Studio.Toolbox.General.CategoryAudio,Audio, ,Audio,오디오,音频
Studio.Toolbox.General.CategoryPlugins,Plugins, ,Plugins,플러그인,插件
Studio.Toolbox.General.CategoryMyModels,My Models, ,My Models,내 모델,我的模型
Studio.Toolbox.General.CategoryMyDecals,My Images, ,My Images,내 이미지,我的图片
Studio.Toolbox.General.CategoryMyMeshes,My Meshes, ,My Meshes,내 메시,我的网格
Studio.Toolbox.General.CategoryMyAudio,My Audio, ,My Audio,내 오디오,我的音频
Studio.Toolbox.General.CategoryMyPackages,My Packages, ,My Packages,내 패키지,我的包
Studio.Toolbox.General.CategoryMyPlugins,My Plugins, ,My Plugins,내 플러그인,我的插件
Studio.Toolbox.General.CategoryRecentModels,Recent Models, ,Recent Models,최근 모델,最近使用的模型
Studio.Toolbox.General.CategoryRecentDecals,Recent Images, ,Recent Images,최근 이미지,最近使用的图片
Studio.Toolbox.General.CategoryRecentMeshes,Recent Meshes, ,Recent Meshes,최근 메시,最近使用的网格
Studio.Toolbox.General.CategoryRecentAudio,Recent Audio, ,Recent Audio,최근 오디오,最近使用的音频
Studio.Toolbox.General.CategoryRecentVideos,Recent Videos, ,Recent Videos, , 
Studio.Toolbox.General.CategoryGroupModels,Group Models, ,Group Models,그룹 모델,群组模型
Studio.Toolbox.General.CategoryGroupDecals,Group Images, ,Group Images,그룹 이미지,群组图片
Studio.Toolbox.General.CategoryGroupMeshes,Group Meshes, ,Group Meshes,그룹 메시,群组网格
Studio.Toolbox.General.CategoryGroupAudio,Group Audio, ,Group Audio,그룹 오디오,群组音频
Studio.Toolbox.General.CategoryGroupPackages,Group Packages, ,Group Packages,그룹 패키지,群组包
Studio.Toolbox.General.SearchBarDefaultText,Search, ,Search,검색,搜索
Studio.Toolbox.General.SearchBarCreatorText,Search for users, ,Search for users,사용자 검색,搜索用户
Studio.Toolbox.General.SuggestionsIntroText,Try searching for:, ,Try searching for:,다음으로 검색:,尝试搜索:
Studio.Toolbox.General.SuggestionsNPC,NPC, ,NPC,NPC,NPC
Studio.Toolbox.General.SuggestionsVehicle,Vehicle, ,Vehicle,차량,车辆
Studio.Toolbox.General.SuggestionsWeapon,Weapon, ,Weapon,무기,武器
Studio.Toolbox.General.SuggestionsBuilding,Building, ,Building,건물,建筑
Studio.Toolbox.General.SuggestionsLight,Light, ,Light,조명,光
Studio.Toolbox.General.SortByText,Sort by:, ,Sort by:,정렬 기준:,排序方式:
Studio.Toolbox.General.SortByRelevance,Relevance, ,Relevance,관련성,关联
Studio.Toolbox.General.SortByMostTaken,Most Taken, ,Most Taken,사용 횟수,最多采用
Studio.Toolbox.General.SortByFavorites,Favorites, ,Favorites,즐겨찾기,收藏
Studio.Toolbox.General.SortByUpdated,Updated, ,Updated,업데이트됨,已更新
Studio.Toolbox.General.SortByRatings,Ratings, ,Ratings,평가,评级
Studio.Toolbox.General.AssetCreatorIntroText,by {name:username}, ,by {name:username},제작: {name:username},作者: {name:username}
Studio.Toolbox.General.VotingVoteText,vote, ,vote,표,票
Studio.Toolbox.General.VotingVotesText,votes, ,votes,표,票
Studio.Toolbox.General.FooterBGText,Background:, ,Background:,배경:,背景:
Studio.Toolbox.General.FooterButtonWhiteName,White, ,White,흰색,白色
Studio.Toolbox.General.FooterButtonBlackName,Black, ,Black,검은색,黑色
Studio.Toolbox.General.FooterButtonNoneName,None, ,None,없음,无
Studio.Toolbox.General.EndorseBadgeTooltipText,Marked as a high-quality item, ,Marked as a high-quality item,고품질 아이템으로 표시,标记为高品质的项目
Studio.Toolbox.General.InfoBannerText,No results found, ,No results found,결과 없음,未找到结果
Studio.Toolbox.General.CategoryEndorsedPlugins,EndorsedPlugins, ,EndorsedPlugins,추천 플러그인,官方认可的插件
Studio.Toolbox.General.SearchResults,Search Results, ,Search Results,검색 결과,搜索结果
Studio.Toolbox.General.SearchResultsKeyword,Search Results for, ,Search Results for,다음에 대한 검색 결과,搜索结果:
