Key,Source,en-us
Studio.Common.Action.Play,Play,Play
Studio.Common.Action.File,File,File
Studio.Toolbox.AssetConfigPackagePermissions.UseViewLabel,Use & View,Use & View
Studio.Common.Action.Cut,Cut,Cut
Studio.Toolbox.General.AssetTypeShirt,Shirt,Shirt
Studio.Common.Action.Replace,Replace,Replace
Studio.Toolbox.General.CategoryCreationsHats,Hats,Hats
Studio.Toolbox.General.SearchResults,Search Results,Search Results
Studio.Common.Action.Ignore,Ignore,Ignore
Studio.Common.Action.Close,Close,Close
Studio.Toolbox.Common.Close,Close,Close
Studio.Common.Action.LabelWithColon1,%1:,%1:
Studio.Toolbox.Purchase.FailedDetails,Purchase of "{name}" failed.,Purchase of "{name}" failed.
Studio.Common.Action.Apply,Apply,Apply
Studio.Toolbox.General.SearchOptionsApply,Apply,Apply
Studio.Common.Action.Cancel,Cancel,Cancel
Studio.Toolbox.General.SearchOptionsCancel,Cancel,Cancel
Studio.Toolbox.Purchase.Cancel,Cancel,Cancel
Studio.Toolbox.General.SearchTagCreator,by:,by:
Studio.Common.Action.Rotate,Rotate,Rotate
Studio.Common.Action.Delete,Delete,Delete
Studio.Common.Action.Height,Height,Height
Studio.Common.Action.Clear,Clear,Clear
Studio.Toolbox.General.SearchResultsClearAll,Clear,Clear
Studio.Toolbox.General.StatusReviewPending,In Review,In Review
Studio.Toolbox.ThumbnailStatus.InReview,In Review,In Review
Studio.Common.Action.Back,Back,Back
Studio.Common.Action.Continue,Continue,Continue
Studio.Common.Action.Copy,Copy,Copy
Studio.Toolbox.AssetConfigPreview.Change,Change,Change
Studio.Common.Action.Remove,Remove,Remove
Studio.Toolbox.AssetConfigError.NetworkError,We encountered some problems:,We encountered some problems:
Studio.Common.Action.Create,Create,Create
