Key,Source,en-us,ko,ru,zh-cn
Studio.Common.Action.Play,Play,Play,플레이,Воспроизвести,开始游戏
Studio.Common.Action.File,File,File,파일,Файл,文件
Studio.Toolbox.AssetConfigPackagePermissions.UseViewLabel,Use & View,Use & View,사용 및 보기,Использование и Просмотр,使用和查看
Studio.Common.Action.Cut,Cut,Cut,잘라내기,Вырезать,剪切
Studio.Toolbox.General.AssetTypeShirt,Shirt,Shirt,셔츠,Рубашка,上衣
Studio.Common.Action.Replace,Replace,Replace,바꾸기,Заменить,替换
Studio.Toolbox.General.CategoryCreationsHats,Hats,Hats,모자,Головные уборы,帽子
Studio.Toolbox.General.SearchResults,Search Results,Search Results,검색 결과,Результаты поиска,搜索结果
Studio.Common.Action.Ignore,Ignore,Ignore,무시,Пропустить,忽略
Studio.Common.Action.Close,Close,Close,닫기,Закрыть,关闭
Studio.Common.Action.LabelWithColon1,%1:,%1:,%1:,%1:,%1
Studio.Toolbox.Purchase.FailedDetails,Purchase of "{name}" failed.,Purchase of "{name}" failed.,"{name}" 구매에 실패했습니다.,"{name}": покупка не совершена.,购买 "{name}" 失败。
Studio.Common.Action.Apply,Apply,Apply,적용,Применить,应用
Studio.Toolbox.General.SearchOptionsApply,Apply,Apply,적용,Применить,应用
Studio.Common.Action.Cancel,Cancel,Cancel,취소,Отмена,取消
Studio.Toolbox.General.SearchOptionsCancel,Cancel,Cancel,취소,Отмена,取消
Studio.Toolbox.Purchase.Cancel,Cancel,Cancel,취소,Отмена,取消
Studio.Toolbox.General.SearchTagCreator,by:,by:,제작:,параметр:,作者:
Studio.Common.Action.Rotate,Rotate,Rotate,회전,Вращать,旋转
Studio.Common.Action.Delete,Delete,Delete,삭제,Удалить,删除
Studio.Common.Action.ShowDetails,Show Details,Show Details,세부 정보 표시, ,显示详情
Studio.Common.Action.Height,Height,Height,높이,Высота,高度
Studio.Common.Action.Clear,Clear,Clear,지우기,Очистить,清除
Studio.Toolbox.General.SearchResultsClearAll,Clear,Clear,지우기,Очистить,清除
Studio.Toolbox.General.StatusReviewPending,In Review,In Review,검토 중,На рассмотрении,审阅中
