Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AudioDiscovery.PausedDialog.Title,Audio Discovery,Audio Discovery,Descubrimiento de audio,Découverte Audio,Scoperta audio,オーディオ検出,오디오 검색,Descoberta de áudio,音频发现,音频发现,音訊發現
Studio.AudioDiscovery.Plugin.Name,Audio Discovery,Audio Discovery,Descubrimiento de audio,Découverte Audio,Scoperta audio,オーディオ検出,오디오 검색,Descoberta de áudio,音频发现,音频发现,音訊發現
Studio.AudioDiscovery.Plugin.Toolbar,Audio Discovery,Audio Discovery,Descubrimiento de audio,Découverte Audio,Scoperta audio,オーディオ検出,오디오 검색,Descoberta de áudio,音频发现,音频发现,音訊發現
Studio.AudioDiscovery.Plugin.Refresh,Refresh,Refresh,Actualizar,Actualiser,Aggiorna,リフレッシュ,새로 고침,Atualizar,刷新,刷新,重新整理
Studio.AudioDiscovery.Plugin.Button,View Sounds,View Sounds,Visualización de sonidos,Voir les sons,Visualizza suoni,サウンドを表示,사운드 보기,Visualizar sons,查看声音,查看声音,查看音訊
Studio.AudioDiscovery.Plugin.Description,Discover the audio assets in this place and see who owns them,Discover the audio assets in this place and see who owns them,Descubre los recursos de audio y su propietario,Découvrir les ressources audio dans cet endroit et voir qui les possède,Scopri gli asset audio in questo luogo e scopri chi li possiede,このプレースにあるオーディオアセットを検出して、誰が所有しているか確認してください,이 플레이스에서 오디오 애셋을 검색하고 소유자를 확인하세요,Descubra os ativos de áudio neste local e veja quem os possui,发现此场景的音频素材并查看其所有者,发现此场景的音频素材并查看其所有者,發現此地點的音訊素材和其所有者
Studio.AudioDiscovery.Plugin.LeftPaneInfo,Discovered Audio,Discovered Audio,Audio descubierto,Audio découvert,Scopri audio,検知済みのオーディオ,찾은 오디오,Áudio descoberto,已发现的音频,已发现的音频,已發現的音訊
Studio.AudioDiscovery.Plugin.Info,"Discover Audio used in this place.<br/><br/>Any audio marked with a red cross should be replaced.<br/><br/>Select an asset to see a list of locations where it is used, and update each one to use a new asset id.<br/><br/>Select a location to highlight it in the Explorer window.","Discover Audio used in this place.<br/><br/>Any audio marked with a red cross should be replaced.<br/><br/>Select an asset to see a list of locations where it is used, and update each one to use a new asset id.<br/><br/>Select a location to highlight it in the Explorer window.",Descubre el audio utilizado en este lugar.<br/><br/>Cualquier sonido marcado con una cruz roja se debe reemplazar.<br/><br/>Selecciona un recurso para ver una lista de ubicaciones donde se utiliza y actualiza cada uno para usar un nuevo ID de recurso.<br/><br/>Selecciona una ubicación para resaltarla en la ventana del Explorador.,Découvrir l’audio utilisé dans cet lieu.<br/><br/> Tout son marqué d’une croix rouge doit être remplacé.<br/><br/> Sélectionner une ressource pour afficher la liste des lieux où elle est utilisée et mettre à jour chacune d’entre elles pour utiliser un nouvel Id de ressource.<br/><br/> Sélectionner un emplacement pour le mettre en surbrillance dans la fenêtre de l’Explorer.,"Scopri l'audio utilizzato in questo luogo.<br/><br/>Qualsiasi audio contrassegnato con una croce rossa dovrebbe essere sostituito.<br/><br/>Seleziona un asset per vedere un elenco di luoghi in cui è utilizzato, e aggiorna ciascuno per utilizzare un nuovo id dell'asset.<br/><br/>Selezionare una posizione per evidenziarla nella finestra Esploratore.",このプレースで使われているオーディオを見つけます。<br/><br/>赤い十時のマークがついているオーディオは、すべて入れ替える必要があります。<br/><br/>使われている場所のリストを表示するにはアセットを選択して、それぞれに新しいアセットIDを使ってアップデートしてください。<br/><br/>エクスプローラウィンドウでハイライトする場所を選択してください。,"이 플레이스에서 사용되는 오디오를 찾아 보세요.<br/><br/>빨간 십자형으로 표시된 모든 오디오는 교체해야 합니다.<br/><br/>애셋을 선택해 사용되는 위치 목록을 확인하고, 새 애셋 ID를 사용하도록 각각 업데이트하세요.<br/><br/>탐색기 창에서 강조 표시할 위치를 선택하세요.","Descubra áudios usados neste local.<br/><br/>Qualquer áudio marcado com uma cruz vermelha deve ser substituído.<br/><br/>Selecione um ativo para ver uma lista de locais onde ele é usado, e atualize cada um para usar um novo ID de ativo.<br/><br/>Selecione um local para destacá-lo na janela do Explorador.",发现此场景使用的音频。<br/><br/>标有红叉的音频应被替换。<br/><br/>选择素材，即可查看使用该素材的地点清单。请使用新的素材 ID 更新每一个素材。<br/><br/>选择地点即可在项目管理器中标记高亮。,发现此场景使用的音频。<br/><br/>标有红叉的音频应被替换。<br/><br/>选择素材，即可查看使用该素材的地点清单。请使用新的素材 ID 更新每一个素材。<br/><br/>选择地点即可在项目管理器中标记高亮。,發現此地點使用的音訊。<br/><br/>有紅叉標記的音訊應被替換。<br/><br/>選擇素材即可查看使用該素材的地點清單，請使用新的素材 ID 更新每一個素材。<br/><br/>選擇位置即可在總管視窗標記。
Studio.AudioDiscovery.Plugin.RightPaneInfo,Instances Using Selected Audio,Instances Using Selected Audio,Instancias que usan el audio seleccionado,Instances utilisant l'audio sélectionné,Istanze utilizzando audio selezionato,選択したオーディオを使用中のインスタンス,선택한 오디오를 사용 중인 인스턴스,Instâncias usando o áudio selecionado,使用所选音频的实例,使用所选音频的实例,使用選擇音訊的個體
Studio.AudioDiscovery.Table.Path,Path,Path,Ruta,Chemin,Percorso,パス,경로,Endereço,路径,路径,路徑
