Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AssetImporter.Statuses.FacsMultipleAnimationStackWarning,Found multiple animation stacks in FBX file.  Using the first one for extract FACS controls.,Found multiple animation stacks in FBX file.  Using the first one for extract FACS controls.,Se encontraron varias pilas de animación en el archivo FBX. Se usa la primera para los controles FACS de extracción.,Plusieurs piles d'animation trouvées dans le fichier FBX. Utiliser la première pour extraire les contrôles FACS.,Trovato più pile di animazione nel file FBX. Usando il primo per estrarre i controlli FACS.,FBXファイル内に複数のアニメーションスタックが見つかりました。FACSコントロールを抽出するために最初のものを使用。,FBX 파일에서 여러 애니메이션 스택을 찾았습니다. 첫 번째 스택이 FACS 컨트롤 추출에 사용됩니다.,Encontradas várias pilhas de animação no arquivo FBX. Usando a primeira para extrair controles FACS.,在 FBX 文件中找到多个动画叠加。当前使用第一个来提取 FACS 控制项。,在 FBX 文件中找到多个动画叠加。当前使用第一个来提取 FACS 控制项。,FBX 檔案找到多個動畫堆疊。將會使用第一個堆疊做為擷取 FACS 控制用途。
Studio.AssetImporter.Statuses.DefaultWarnings,Import experienced a {type} warning.,Import experienced a {type} warning.,La importación tiene una advertencia de {type}.,L'importation a connu un avertissement de {type}.,Importazione con un avviso {type}.,インポート中に {type} の警告がありました。,가져오는 중에 {type} 경고가 발생했습니다.,A importação experimentou um aviso {type}.,导入时出现“{type}”警告。,导入时出现“{type}”警告。,匯入遭受 {type} 警告。
Studio.AssetImporter.Plugin.Description,Import a mesh rig or avatar from a file using the import UI.,Import a mesh rig or avatar from a file using the import UI.,Importa una malla de rig o avatar desde un archivo usando la interfaz de usuario de importación.,Importer une rig de maillage ou un avatar à partir d'un fichier en utilisant l'interface d'importation.,Importa un mesh rig o un avatar da un file usando l'interfaccia utente di importazione.,インポート UI を使用して、メッシュリグまたはアバターをファイルからインポート。,가져오기 UI를 사용해 파일에서 메시 리그 또는 아바타를 가져옵니다.,Importe uma rig de malha ou de avatar de um arquivo usando a interface de importação.,使用导入界面从文件导入网格骨架或虚拟形象。,使用导入界面从文件导入网格骨架或虚拟形象。,使用匯入 UI 從檔案匯入網格骨架或虛擬人偶。
Studio.AssetImporter.Plugin.Name,AssetImporter,AssetImporter,Importador de recursos,AssetImporter,Importatore Asset,アセットインポーター,AssetImporter,Importador de ativos,AssetImporter,AssetImporter,AssetImporter
Studio.AssetImporter.Properties.PolygonCount,Polygon Count,Polygon Count,Conteo de polígono,Nombre de polygones,Conteggio poligoni,多角形の数,다각형 수,Contagem de polígonos,多边形数量,多边形数量,多邊形數量
Studio.AssetImporter.Properties.UseSceneOriginAsPivot,Set Pivot to Scene Origin,Set Pivot to Scene Origin,Fijar pivote a origen de escena,Définir le pivot à l'origine de la scène,Imposta il perno all'origine della scena,ピボットをシーン起源に設定,피벗을 장면 원점으로 설정,Definir pivô para a origem da cena,将枢轴设为场景原点,将枢轴设为场景原点,將軸點設為場景原點
Studio.AssetImporter.Plugin.ImportConfiguration,Settings for the current import,Settings for the current import,Configuración para la importación actual,Paramètres de l'importation actuelle,Impostazioni per l'importazione attuale,現在のインポートの設定,현재 가져오기 설정,Configurações para a importação atual,当前导入的设置,当前导入的设置,目前匯入設定
Studio.AssetImporter.PropertiesTooltip.MergeMeshes,Combine sub meshes into one mesh,Combine sub meshes into one mesh,Combinar submallas en una malla,Combiner les sous-mailles en un seul maillage,Combina le sotto-maglie in una sola maglia,サブメッシュを一つのメッシュに併合,하위 메시를 하나의 메시로 병합,Combinar sub malhas em uma malha,将子网格合并为一个网格,将子网格合并为一个网格,將子網格合成一個網格
Studio.AssetImporter.Statuses.UGCExceedUVSpaceWarning,Mesh has UVs defined outside 0-1 space. This can lead to texturing discrepancies and violates UGC upload requirements.,Mesh has UVs defined outside 0-1 space. This can lead to texturing discrepancies and violates UGC upload requirements.,La malla tiene las UV definidas fuera del espacio 0-1. Esto puede llevar a discrepancias de texturizado y va en contra de los requisitos de carga de accesorios UGC.,Le maillage a des UV définis en dehors de l'espace 0-1. Cela peut conduire à des différences de texturation et enfreindre les exigences de téléchargement UGC.,Mesh ha UV definite al di fuori dello spazio 0-1. Questo può portare a discrepanze di texture e viola i requisiti di caricamento UGC.,メッシュには、0-1 空間外に定義されているUVがあります。これによってテクスチャ化の不一致が生じ、UGCのアップロード要件に違反する可能性があります。,메시에 0-1 공간 외부에 정의된 UV가 있습니다. 이로 인해 텍스처 불일치가 발생하며 UGC 업로드 요구 사항을 위반할 수 있습니다.,A Malha tem UVs definidos fora do espaço 0-1. Isto pode levar a discrepâncias de textura e viola os requisitos de upload de CGU.,网格具有界定于 0 到 1 之外的 UV 值。这可能会导致纹理差异并使您违反 UGC 上传要求。,网格具有界定于 0 到 1 之外的 UV 值。这可能会导致纹理差异并使您违反 UGC 上传要求。,網格有定義在 0-1 空間之外的 UV。這可能會導致紋理誤差，並違反 UGC 上傳需求。
Studio.AssetImporter.Plugin.Toolbar,Mesh Importer,Mesh Importer,Importador de mallas,Importation de maillage,Importazione mesh,メッシュインポーター,메시 임포터,Importador de malhas,网格导入器,网格导入器,網格編輯器
Studio.AssetImporter.Properties.FileDimensions,File Dimensions,File Dimensions,Dimensiones del archivo,Dimensions du fichier,Dimensioni file,ファイルの寸法,파일 크기,Dimensões do arquivo,文件尺寸,文件尺寸,檔案尺寸
Studio.AssetImporter.Plugin.Button,Import,Import,Importar,Importation,Importa,インポートする,가져오기,Importar,导入,导入,匯入
Studio.AssetImporter.Plugin.Import,Import,Import,Importar,Importer,Importa,インポートする,가져오기,Importar,导入,导入,匯入
Studio.AssetImporter.Statuses.MaterialIgnoredWarning,The material included with this object is currently unsupported.,The material included with this object is currently unsupported.,El material incluido con este objeto no es compatible en este momento.,Le matériel inclus avec cet objet n'est pas pris en charge.,Il materiale incluso con questo oggetto non è attualmente supportato.,このオブジェクトに含まれている素材には、現在、対応していません。,이 개체에 포함되어 있는 재질은 현재 지원되지 않습니다.,O material incluído neste objeto não é suportado no momento.,当前不支持此对象附带的材质。,当前不支持此对象附带的材质。,目前不支援此物件附帶的材質。
Studio.AssetImporter.AssetImportTree.Errors,error(s),error(s),error(es),erreur(s),errore(i),エラー,오류,erro(s),错误,错误,錯誤
Studio.AssetImporter.Plugin.Browse,Browse...,Browse...,Buscar...,Recherche...,Sfoglia...,閲覧する...,둘러보기...,Procurar...,浏览...,浏览...,瀏覽……
Studio.AssetImporter.PropertiesTooltip.DoubleSided,Whether or not vertices should be one sided (you can see through them from one direction) or double sided (opaque from both directions),Whether or not vertices should be one sided (you can see through them from one direction) or double sided (opaque from both directions),Si los vértices deben ser o no de una sola cara (puedes ver a través de ellos desde una sola dirección) o de dos caras (opaco desde ambas direcciones),Si les sommets doivent être unilatéraux (on peut les voir d'un côté) ou bilatéraux (opaques des deux côtés),Se i vertici devono essere di un lato (si può vedere attraverso di loro da una direzione) o di un lato doppio (opaco da entrambe le direzioni),頂点を片面にするかどうか（一方向から見通せます）、両面にするか（両方向から見て不透明）,정점의 단면(한 방향에서 볼 수 있음) 또는 양면(양 방향에서 불투명) 여부,Se os vértices devem ou não ter somente um lado (você pode ver através deles de uma direção) ou do lado duplo (opaco de ambas as direções),顶点是否应为单面（从一个方向可看清）或双面（从两个方向都无法看清）,顶点是否应为单面（从一个方向可看清）或双面（从两个方向都无法看清）,頂點應為單面（可以從一個方向看過去）或雙面（兩個方向都看不過去）
Studio.AssetImporter.EnumItem.RthroNarrow,Rthro Narrow,Rthro Narrow,Rthro angosto,Rthro étroit,Rthro smilzo,Rthro（細身）,Rthro 날씬,Rthro estreito,Rthro 窄身,Rthro 窄身,Rthro 細
Studio.AssetImporter.TreeViewToolbar.Expand,Expand,Expand,Ampliar,Étendre,Espandi,展開する,확장,Expandir,扩展,扩展,展開
Studio.AssetImporter.EnumItem.Default,Default,Default,Predeterminado,Par défaut,Predefinito,デフォルト,기본값,Padrão,默认,默认,預設
Studio.AssetImporter.TreeViewToolbar.Collapse,Collapse,Collapse,Contraer,Réduire,Comprimi,折り畳み表示,축소,Recolher,收起,收起,摺疊
Studio.AssetImporter.Upload.Success,Successfully Imported!,Successfully Imported!,Importado correctamente,Importé avec succès !,Importato con successo!,インポートできました！,가져오기를 완료했습니다!,Importado com sucesso!,导入成功！,导入成功！,已成功匯入！
Studio.AssetImporter.Statuses.FacsRootFaceJointExtraCharsError1,"{FacsControlName}" must be exactly "RootFaceJoint" with no spaces or underscores.,"{FacsControlName}" must be exactly "RootFaceJoint" with no spaces or underscores.,"{FacsControlName}" debe ser exactamente "RootFaceJoint" sin espacios ni guiones bajos.,"{FacsControlName}" doit être exactement "RootFaceJoint" sans espace ni underscore.,"{FacsControlName}" deve essere esattamente "RootFaceJoint" senza spazi o sottolineature.,「{FacsControlName}」はスペースやアンダースコアなしで、文字通り「RootFaceJoint」でなければなりません。,'{FacsControlName}'(은)는 공백이나 밑줄 없이 정확히 'RootFaceJoint'여야 합니다.,"\"{FacsControlName}\" deve ser exatamente \"RootFaceJoint\", sem espaços ou sublinhados.",“{FacsControlName}”必须和“RootFaceJoint”完全一致，不能包括空格或下划线。,“{FacsControlName}”必须和“RootFaceJoint”完全一致，不能包括空格或下划线。,「{FacsControlName}」必須與「RootFaceJoint」一致，不可含有空格或下橫線。
Studio.AssetImporter.Statuses.DefaultError,Import experienced a {type} error.,Import experienced a {type} error.,La importación tiene un error de {type}.,L'importation a rencontré une erreur {type}.,L'importazione ha avuto un errore di {type}.,インポート中に {type} エラーが発生しました。,가져오는 중에 {type} 오류가 발생했습니다.,Importação experimentou um erro {type}.,导入时出现“{type}”错误。,导入时出现“{type}”错误。,匯入遭受 {type} 錯誤。
Studio.AssetImporter.AssetImportTree.Contains,Contains %d %s,Contains %d %s,Contiene %d %s,Contient %d %s,Contiene %d %s,%d %s が含まれています,%d %s 포함,Contém %d %s,包含 %d %s,包含 %d %s,包含 %d %s
Studio.AssetImporter.AssetImportTree.Descendants,Descendants contain %d %s,Descendants contain %d %s,Los descendientes contienen %d %s,Les descendants contiennent %d %s,I discendenti contengono %d %s,子孫に %d %s が含まれています,하위 항목에 %d %s(이)가 포함되어 있습니다,Descendentes contém %d %s,后代包含 %d %s,后代包含 %d %s,後代包含 %d %s
Studio.AssetImporter.Upload.WindowTitle,Importing,Importing,Importando,Importation,Importazione,インポート中,가져오는 중,Importando,正在导入,正在导入,正在匯入
Studio.AssetImporter.AssetImportTree.Warnings,warning(s),warning(s),advertencia(s),avertissement(s),avviso/i,警告,주의,aviso(s),警告,警告,警告
Studio.AssetImporter.Plugin.Cancel,Cancel,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,取消,取消,取消
Studio.AssetImporter.PropertiesTooltip.FileDimensions,The size of the extents of the file in studs,The size of the extents of the file in studs,El tamaño de la extensión del archivo en los studs separados,La taille des extensions du fichier dans les studs,La dimensione dell'estensione del file sulle borchie separate,スタッド数でのファイル範囲のサイズ,파일 범위의 크기(스터드),O tamanho da extensão do arquivo em quadrículas,文件拓展内容大小（格）,文件拓展内容大小（格）,檔案聯集大小（磚塊）
Studio.AssetImporter.Plugin.WindowTitle,Import Preview,Import Preview,Importar vista previa,Aperçu de l'import,Importa anteprima,インポートプレビュー,가져오기 미리 보기,Importar prévia,导入预览,导入预览,匯入預覽
Studio.AssetImporter.Properties.MergeMeshes,Merge Meshes,Merge Meshes,Combinar mallas,Fusionner les maillages,Unisci meshes,メッシュを併合,메시 병합,Mesclar malhas,合并网格,合并网格,合併網格
Studio.AssetImporter.Sections.FileTransform,File Transform,File Transform,Transformación del archivo,Transformation de fichier,Trasformazione file,ファイル変換,파일 변환,Arquivo transformar,文件变形,文件变形,檔案轉換
Studio.AssetImporter.Sections.FileGeneral,File General,File General,Archivo general,Fichier Général,File generale,ファイル全般,파일 일반,Arquivo geral,文件概况,文件概况,檔案概況
Studio.AssetImporter.Properties.IgnoreVertexColors,Ignore Vertex Colors,Ignore Vertex Colors,Omitir colores de vértices,Ignorer les couleurs des sommets,Ignora colori vertice,頂点の色を無視,정점 색상 무시,Ignorar cores de vértice,忽略顶点颜色,忽略顶点颜色,忽略頂點顏色
Studio.AssetImporter.PropertiesTooltip.Dimensions,The size of the given object in studs,The size of the given object in studs,El tamaño del objeto en studs,La taille de l'objet donné dans les studs,La dimensione dell'oggetto in borchie,指定されたオブジェクトのスタットでのサイズ,지정된 개체의 크기(스터드),O tamanho do objeto dado em quadrículas,指定对象大小（格）,指定对象大小（格）,指定物件大小（磚塊）
Studio.AssetImporter.EnumItem.Right,Right,Right,Derecho,Droite,Destra,右,오른쪽,Direita,右,右,右
Studio.AssetImporter.Properties.Anchored,Anchored,Anchored,Anclado,Ancré,Ancorato,アンカー済み,고정됨,Ancorado,已锚固,已锚固,已固定
Studio.AssetImporter.Sections.FileGeometry,File Geometry,File Geometry,Geometría del archivo,Géométrie du fichier,Geometria file,ファイルのジオメトリ,파일 지오메트리,Arquivo de geometria,文件几何体,文件几何体,檔案幾何體
Studio.AssetImporter.Statuses.FacsOnlyNeutralError,Only "Neutral" pose exists.  No facial expressions possible.,Only "Neutral" pose exists.  No facial expressions possible.,Solo existe la pose "Neutral". No es posible ninguna expresión facial.,Seule la pose "Neutre" existe. Aucune expression faciale possible.,Esiste solo una posa "Neutrale". Nessuna espressione facciale possibile.,「中立」ポーズしかありません。表情はできません。,'Neutral' 포즈만 존재합니다. 표정을 사용할 수 없습니다.,Só existe a pose "Neutro". Não há expressões faciais possíveis.,仅有“Neutral”姿势。无法使用面部表情。,仅有“Neutral”姿势。无法使用面部表情。,只存在「Neutral」姿勢。無法使用臉部動作。
Studio.AssetImporter.Properties.InsertInWorkspace,Insert In Workspace,Insert In Workspace,Insertar en Espacio de trabajo,Insérer dans Workspace,Inserisci nel workspace,ワークスペースに挿入,작업 공간에 삽입,Inserir na área de trabalho,插入至工作区,插入至工作区,插入到工作區
Studio.AssetImporter.Properties.ImportName,Name,Name,Nombre,Nom,Nome,名前,이름,Nome,名称,名称,名稱
Studio.AssetImporter.Statuses.CageNameHasTypoWarning,"Cage name contains a typo, try renaming to {name}.","Cage name contains a typo, try renaming to {name}.",El nombre de la jaula contiene un error tipográfico. Intenta renombrar a {name}.,"Le nom de la cage contient une faute, essayez de renommer en {name}.","Il nome della gabbia contiene un tipo, prova a rinominare {name}.",ケージ名にタイプミスが含まれています。 {name} に名前を変更してみてください。,케이지 이름에 오타가 있습니다. 이름을 {name}(으)로 변경하세요.,"O nome da gaiola contém um erro de digitação, tente renomear para {name}.",围笼名称中有错字，请尝试重命名为 {name}。,围笼名称中有错字，请尝试重命名为 {name}。,圍籠名稱有錯字，請重新命名為 {name}。
Studio.AssetImporter.Statuses.CageNameHasTypoWarning_Deprecated,"Cage name contains a typo, try renaming to {name}.","Cage name contains a typo, try renaming to {name}.",El nombre de la jaula contiene un error tipográfico. Intenta renombrar a {name}.,"Le nom de la cage contient une faute, essaie de renommer en {name}.","Il nome della gabbia contiene un tipo, prova a rinominare {name}.",ケージ名にタイプミスが含まれています。 {name} に名前を変更してみてください。,케이지 이름에 오타가 있습니다. 이름을 {name}(으)로 변경하세요.,"O nome da gaiola contém um erro de digitação, tente renomear para {name}.",围笼名称中有错字，请尝试重命名为 {name}。,围笼名称中有错字，请尝试重命名为 {name}。,圍籠名稱有錯字，請重新命名為 {name}。
Studio.AssetImporter.Sections.ObjectGeneral,Object General,Object General,General del objeto,Objet général,Oggetto generale,オブジェクト全般,개체 일반,Objeto geral,对象概况,对象概况,物件概況
Studio.AssetImporter.Statuses.CouldNotReadTextureError,Could not read the texture file associated with this object.,Could not read the texture file associated with this object.,No se pudo leer el archivo de textura asociado con este objeto.,Impossible de lire le fichier de texture associé à cet objet.,Impossibile leggere il file di texture normale associato a questo oggetto.,このオブジェクトと関連したテクスチャファイルを読み取れませんでした。,이 개체와 연결된 텍스처 파일을 읽을 수 없습니다.,Não foi possível ler o arquivo de textura associado a este objeto.,无法读取与此对象关联的纹理文件。,无法读取与此对象关联的纹理文件。,無法讀取此物件相關的紋理檔案。
Studio.AssetImporter.Sections.ObjectGeometry,Object Geometry,Object Geometry,Geometría del objeto,Géométrie de l'objet,Geometria oggetto,オブジェクトのジオメトリ,개체 지오메트리,Objeto de geometria,对象几何体,对象几何体,物件幾何體
Studio.AssetImporter.Statuses.UnsupportedPreviewTextureType,".tga and .gif are not fully supported. They may not be visible in previews, and in some cases may cause the upload to fail, but they'll appear if the upload succeeds. You may convert them to a different file type such as .png or .jpg to view them in the preview window.",".tga and .gif are not fully supported. They may not be visible in previews, and in some cases may cause the upload to fail, but they'll appear if the upload succeeds. You may convert them to a different file type such as .png or .jpg to view them in the preview window.",".tga y .gif no son totalmente compatibles. Puede que no sean visibles en las previsualizaciones, y en algunos casos pueden causar que la carga falle, pero aparecerán si la carga tiene éxito. Puede convertirlos a un tipo de archivo diferente como .png o .jpg para verlos en la ventana de vista previa.",".tga et .gif ne sont pas entièrement pris en charge. Ils peuvent ne pas être visibles dans les aperçus et, dans certains cas, peuvent causer l'échec du téléchargement, mais ils apparaîtront si le téléchargement réussi. Tu peux les convertir en un autre type de fichier tel que .png ou .jpg pour les afficher dans la fenêtre de prévisualisation.",".tga e .gif non sono completamente supportati. Essi potrebbero non essere visibili nelle anteprime, e in alcuni casi potrebbero causare il caricamento di fallire, ma appariranno se il caricamento ha successo. È possibile convertirli in un tipo di file diverso come .png o .jpg per visualizzarli nella finestra di anteprima.",.tga と .gif には完全に対応していません。プレビューでは表示されない場合があり、アップロードできない場合もありますが、アップロードできれば表示されます。 プレビューウィンドウで表示するには、.png や .jpg などの別のファイル形式に変換できます。,.tga 및 .gif 파일은 아직 완전히 지원되지 않습니다. 이는 미리 보기에 표시되지 않을 수 있으며 경우에 따라 업로드되지 못할 수 있지만 업로드에 성공하면 표시됩니다. 미리 보기 창에서 보려면 .png 또는 .jpg 등 다른 파일 형식으로 변환하세요.,".tga e .gif não são totalmente suportados. Eles podem não ser visíveis nas pré-visualizações e, em alguns casos, podem causar falha no upload, mas aparecerão se o upload for bem-sucedido. Você pode convertê-los para um tipo de arquivo diferente como .png ou .jpg para visualizá-los na janela de visualização.",尚未完全支持 .tga 与 .gif 格式。该文件无法预览，有时也无法上传，但一旦上传成功将会显示。若要在预览窗口查看，请将文件转为 .png、.jpg 等文件类型。,尚未完全支持 .tga 与 .gif 格式。该文件无法预览，有时也无法上传，但一旦上传成功将会显示。若要在预览窗口查看，请将文件转为 .png、.jpg 等文件类型。,.tga 與 .gif 尚未獲得完整支援。該檔案無法在預覽看到，有時候也會無法上傳，但上傳成功時將會出現。若要在預覽視窗查看，可以將檔案轉為 .png、.jpg 等檔案類型。
Studio.AssetImporter.Properties.Dimensions,Object Dimensions,Object Dimensions,Dimensiones del objeto,Dimensions de l'objet,Dimensioni oggetto,オブジェクトの寸法,개체 크키,Objeto dimensões,对象尺寸,对象尺寸,物件尺寸
Studio.AssetImporter.PropertiesTooltip.Anchored,If this object should be anchored,If this object should be anchored,Si este objeto debe anclarse,Si cet objet doit être ancré,Se questo oggetto deve essere ancorato,このオブジェクトをアンカリングする必要がある場合,이 개체를 고정해야 하는 경우,Se este objeto deve ser ancorado,此对象是否应该被锚固,此对象是否应该被锚固,此物件是否應被固定
Studio.AssetImporter.Properties.DoubleSided,Make Double Sided,Make Double Sided,Hacer doble cara,Faire recto-verso,Rendi doppio fronte,両面にする,양면으로,Fazer com lado duplo,双面化,双面化,使成為雙面
Studio.AssetImporter.Properties.InvertNegativeFaces,Invert Negative Faces,Invert Negative Faces,Invertir caras negativas,Inverser les faces négatives,Inverti facce negative,マイナス面を反転,음의 면 반전,Inverter faces negativas,翻转负面表面,翻转负面表面,翻轉負面表面
Studio.AssetImporter.Properties.FilePath,File Path,File Path,Ruta del archivo,Chemin du fichier,Percorso file,ファイルパス,파일 경로,Endereço do arquivo,文件路径,文件路径,檔案路徑
