Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.Drafts.Meta.PluginButtonTooltip,View Drafts,Entwürfe anzeigen,View Drafts,Ver borradores,Visualiser les projets,Visualizza bozze,下書きを表示,초안 보기,Ver rascunhos,Просмотр черновиков,查看草稿,查看草稿,檢視草稿
Studio.Drafts.ContextMenu.OpenScript,Open Draft,Entwurf öffnen,Open Draft,Abrir borrador,Ouvrir projet,Apri bozza,下書きを開く,초안 열기,Abrir rascunho,Открыть черновик,打开草稿,打开草稿,開啟草稿
Studio.Drafts.Meta.PluginDescription,I'm a hover message,Ich bin eine Hover-Nachricht,I'm a hover message,Soy un mensaje emergente,Je suis un message de survol,Messaggio hover,ホバリングの吹き出しです,커서 올리기 메시지입니다,Sou uma mensagem flutuante,Это всплывающий текст,我是悬浮信息,我是悬浮信息,我是懸浮訊息
Studio.Drafts.Meta.PluginName,Drafts,Entwürfe,Drafts,Borradores,Projets,Bozze,下書き,초안,Rascunhos,Черновики,草稿,草稿,草稿
Studio.Drafts.Tooltip.DraftCommitted,Draft successfully committed,Entwurf erfolgreich committet,Draft successfully committed,Borrador confirmado correctamente,Projet validé avec succès,Commit bozza eseguito correttamente,下書きをコミットできました,초안 제출 성공,Rascunho validado com sucesso,Черновик успешно сохранен,草稿已成功提交,草稿已成功提交,已成功提交草稿
Studio.Drafts.Example.ErrorAnUnexpectedThing,"An unexpected thing happened, try again","Es ist etwas Unerwartetes passiert, versuche es erneut","An unexpected thing happened, try again",Ha pasado algo inesperado. Inténtalo de nuevo,"Quelque chose d'inopiné s'est produit, réessaie","Si è verificato un errore imprevisto, riprova",予期しないことが起きました。もう一度お試しください,예기치 못한 문제가 발생했습니다. 다시 시도하세요.,"Ocorreu algo inesperado, continue tentando","Возникла непредвиденная ошибка, попробуйте снова.",发生意外，请重试,发生意外，请重试,發生意外錯誤，請重新嘗試
Studio.Drafts.ContextMenu.ShowDiff,Compare with server,Mit Server vergleichen,Compare with server,Comparar con servidor,Comparer avec serveur,Confronta con il server,サーバーと比較,서버와 비교,Comparar com o servidor,Сравнить с сервером,与服务器比较,与服务器比较,與伺服器比較
Studio.Drafts.Main.NoDrafts,(Empty),(Leer),(Empty),(vacío),(Vide),(Vuoto),（空）,(비어 있음),(Vazio),(Пусто),（空）,（空）,（空）
Studio.Drafts.DiscardDialog.ConfirmQuestion,Are you sure you want to discard your uncommited edits to the following scripts?,Möchtest du deine nicht committeten Bearbeitungen an den folgenden Skripten wirklich verwerfen?,Are you sure you want to discard your uncommited edits to the following scripts?,¿Quieres eliminar tus ediciones sin confirmar en los siguientes scripts?,Es-tu sûr de vouloir rejeter tes modifications non validées aux scripts suivants ?,Vuoi davvero scartare le modifiche senza commit dei seguenti script?,以下のスクリプトでコミットされていない編集内容を破棄してよろしいですか？,다음 스크립트에 대한 커밋되지 않은 편집 내용을 제거할까요?,Tem certeza que deseja descartar suas edições não validadas para os seguintes scripts?,Отменить несохраненные правки в следующих скриптах?,确定放弃对以下脚本的未提交编辑?,确定放弃对以下脚本的未提交编辑?,確定捨棄在以下指令碼李未提交的編輯？
Studio.Drafts.ContextMenu.Commit,Commit,Committen,Commit,Confirmar,Soumettre,Esegui commit,コミット,커밋,Validar,Зафиксировать,提交,提交,提交
Studio.Drafts.Toolbar.CommitButton,Commit,Committen,Commit,Confirmar,Valider,Esegui commit,コミット,커밋,Validar, ,提交,提交,提交
Studio.Drafts.ContextMenu.Update,Merge from server,Vom Server zusammenführen,Merge from server,Fusionar desde el servidor,Fusionner à partir du serveur,Unisci dal server,サーバーから併合,서버에서 병합,Mesclar a partir do servidor,Объединить на сервере,从服务器合并,从服务器合并,從伺服器合併
Studio.Drafts.StatusText.Saved,Saved,Gespeichert,Saved,Guardado,Sauvegardé,Salvataggio riuscito,保存済み,저장됨,Salvo,Сохранение выполнено,已保存,已保存,已儲存
Studio.Drafts.ContextMenu.Restore,Restore Script,Skript wiederherstellen,Restore Script,Restaurar script,Restorer script,Script di ripristino,スクリプトを復元,스크립트 복원,Restaurar script,Восстановить скрипт,还原脚本,还原脚本,還原指令碼
Studio.Drafts.ContextMenu.Revert,Discard Draft,Entwurf verwerfen,Discard Draft,Eliminar borrador,Rejeter projet,Scarta bozza,下書きを破棄,초안 제거,Descartar rascunho,Отменить черновик,放弃草稿,放弃草稿,捨棄草稿
Studio.Drafts.StatusText.Uncommitted,Uncommitted,Nicht committet,Uncommitted,Sin confirmar,Non validé,Commit non eseguito,コミットされていない,커밋되지 않음,Não validado, ,未提交,未提交,未提交
Studio.Drafts.Dialog.Yes,Yes,Ja,Yes,Sí,Oui,Sì,はい,예,Sim,Да,是,是,是
Studio.Drafts.Tooltip.DraftOutdated,Newer version on server,Neuere Version auf dem Server,Newer version on server,Versión más reciente en el servidor,Nouvelle version sur le serveur,Versione più recente sul server,サーバー上でさらに新しいバージョン,서버의 최신 버전,Versão atualizada no servidor,Более новая версия на сервере,服务器上发现更新版本,服务器上发现更新版本,伺服器有更新版本
Studio.Drafts.Dialog.No,No,Nein,No,No,Non,No,いいえ,아니요,Não,Нет,否,否,否
Studio.Drafts.DiscardDialog.Title,Discard Edits to Scripts,Bearbeitungen an Skripten verwerfen,Discard Edits to Scripts,Eliminar ediciones en los scripts,Rejeter les modifications aux scripts,Scarta modifiche script,スクリプトの編集を破棄,스크립트에 대한 편집 내용 제거,Descartar edições para scripts,Отменить правки в скриптах,放弃对脚本的编辑,放弃对脚本的编辑,捨棄指令碼編輯
Studio.Drafts.Tooltip.ScriptDeleted,The original script has been deleted from the server,Das ursprüngliche Skript wurde vom Server gelöscht,The original script has been deleted from the server,Se ha eliminado el script original del servidor,Le script d'origine a été effacé du serveur,Lo script iniziale è stato eliminato dal server,元のスクリプトがサーバーから削除されました,원본 스크립트가 서버에서 삭제되었습니다.,O script original foi apagado do servidor,Оригинал скрипта был удален с сервера,原始脚本已从服务器中删除,原始脚本已从服务器中删除,原指令碼已從伺服器中刪除
Studio.Drafts.StatusText.Saving,Saving...,Wird gespeichert ...,Saving...,Guardando...,Sauvegarde...,Salvataggio...,保存中...,저장 중...,Salvando...,Идет сохранение...,正在保存…,正在保存…,正在儲存……
Studio.Drafts.DraftItem.CommittedLabel,{1} committed,{1} committet,{1} committed,{1} confirmados,{1} validé,Commit di {1} eseguito,{1} 件コミット済み,{1} 커밋됨,{1} validado,{1}: изменение зафиксировано,{1} 已提交,{1} 已提交,已提交 {1} 項
Studio.Drafts.StatusText.Committing,Committing...,Wird committet ...,Committing...,Confirmando...,Validation...,Esecuzione commit...,コミット中...,커밋 중...,Validando...,Фиксирование...,正在提交…,正在提交…,正在提交……
